Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Accepted + Assigned' to 'Completed + In Call',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + In Call',0:00:30,
"Average resolution time of 'Accepted + Assigned' for cases impacting 'High' severity products,The average of the duration between activity Accepted + Assigned and the end of the case,""17 days, 10:05:01.078125"","
"Total time spent in 'Accepted + Assigned' across all cases,The sum of the duration between activity Accepted + Assigned and the end of the case,""34941 days, 22:01:12"","
"Average time between 'Accepted + Assigned' and 'Completed + Resolved',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Resolved',""14 days, 15:54:44.557503"","
"Total time from 'Accepted + Assigned' to 'Completed + Closed' across variants where both activities occur,The sum of the duration between activity 'Accepted + Assigned' and activity 'Completed + Closed',""34764 days, 10:04:31"","
Minimum time it takes for 'Accepted + Assigned' to be followed by 'Queued + Awaiting Assignment',The minimum of the duration between activity 'Accepted + Assigned' and activity 'Queued + Awaiting Assignment',0:00:08,
"Average time it takes for 'Accepted + Assigned' to transition to 'Accepted + In Progress' in the most frequent variant,The average of the duration between activity 'Accepted + Assigned' and activity 'Accepted + In Progress',""10 days, 13:59:50.737102"","
"Total resolution time of 'Accepted + Assigned' in cases involving 'PROD582',The sum of the duration between activity Accepted + Assigned and the end of the case,""965 days, 8:15:46"","
Minimum resolution time of 'Accepted + Assigned' across all cases,The minimum of the duration between activity Accepted + Assigned and the end of the case,0:00:30,
"Average time from 'Accepted + Assigned' to 'Accepted + Wait - User' in variants where this transition occurs,The average of the duration between activity 'Accepted + Assigned' and activity 'Accepted + Wait - User',""5 days, 22:50:55.887240"","
"Total time it takes 'Accepted + Assigned' to be done before 'Accepted + Wait - Implementation',The sum of the duration between activity 'Accepted + Assigned' and activity 'Accepted + Wait - Implementation',""2357 days, 5:00:07"","
Minimum time between 'Accepted + Assigned' and 'Completed + Resolved' in the fastest variant,The minimum of the duration between activity 'Accepted + Assigned' and activity 'Completed + Resolved',0:00:33,
'Accepted + Assigned' Cycle Time in the context of 'Completed + In Call' impact analysis,The sum of the duration between activity 'Accepted + Assigned' and activity 'Completed + In Call',0:00:30,
