Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average duration of 'Accepted + Wait - User' before transitioning to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',""8 days, 3:34:57.158730"","
"Median duration of 'Accepted + Wait - User' across all cases,The average of the duration between activity Accepted + Wait - User and the end of the case,""17 days, 9:20:25.763527"","
"Longest duration of 'Accepted + Wait - User' before any subsequent activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - User' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x000002583FC292D0> - AppliesTo.PROCESS,""477 days, 9:44:30"","
Shortest duration of 'Accepted + Wait - User' before transitioning to any subsequent activity,The minimum of the duration between activity Accepted + Wait - User and the end of the case,0:00:00,
"Average duration from 'Accepted + Wait - User' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',""13 days, 6:24:12.307850"","
"Total duration of 'Accepted + Wait - User' across all cases,The sum of the duration between activity Accepted + Wait - User and the end of the case,""43386 days, 0:31:20"","
"Duration comparison between 'Accepted + Wait - User' and 'Accepted + In Progress',The average of the duration between activity 'Accepted + Wait - User' and activity 'Accepted + In Progress',""13 days, 15:56:10.623377"","
"Duration comparison between 'Accepted + Wait - User' and 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + Wait - User' and activity 'Queued + Awaiting Assignment',""9 days, 10:45:08.848524"","
"Average duration of 'Accepted + Wait - User' in cases leading to 'Completed + In Call' versus other outcomes,The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',""8 days, 3:34:57.158730"","
"Average duration of 'Accepted + Wait - User' during different times of the day (morning, afternoon, evening),""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': '', 'aggregation': 'average', 'group_by': 'time:timestamp'}"",,"
"Impact of 'Accepted + Wait - User' duration on the total case duration,The average of the duration between activity Accepted + Wait - User and the end of the case,""17 days, 9:20:25.763527"","
"Average duration of 'Accepted + Wait - User' in cases with high impact versus low impact,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': '', 'aggregation': 'average', 'filter': 'impact > low'}"",,"
"Trend analysis of 'Accepted + Wait - User' duration over the event log period,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': '', 'aggregation': 'average', 'group_by': 'time:timestamp'}"",,"
"Comparison of 'Accepted + Wait - User' duration before and after specific organizational changes (if applicable from the event log description),The average of the duration between activity Accepted + Wait - User and the end of the case,""17 days, 9:20:25.763527"","
"Average duration from 'Accepted + Wait - User' to the next activity for the top 5 most frequent process variants,The average of the duration between activity Accepted + Wait - User and the end of the case,""17 days, 9:20:25.763527"","
