Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average duration of 'Accepted + In Progress' before transitioning to 'Completed + In Call',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
"Median duration of 'Accepted + In Progress' across all cases,The average of the duration between activity Accepted + In Progress and the end of the case,""12 days, 1:31:32.497611"","
"Average duration from 'Accepted + In Progress' to 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + In Progress' and activity 'Queued + Awaiting Assignment',""4 days, 8:30:01.120050"","
"Total duration of 'Accepted + In Progress' for cases involving 'Org line A2',The sum of the duration between activity Accepted + In Progress and the end of the case,""24484 days, 14:05:18"","
"Longest duration of 'Accepted + In Progress' before transitioning to any other activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + In Progress' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""771 days, 8:26:33"","
Shortest duration of 'Accepted + In Progress' within cases ending in 'Completed + Closed',The minimum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',0:01:35,
"Average duration between 'Accepted + In Progress' and 'Completed + Resolved' across variants,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',""11 days, 0:27:37.584765"","
"Total duration of 'Accepted + In Progress' in cases with 'High' impact,The sum of the duration between activity Accepted + In Progress and the end of the case,""4195 days, 18:27:58"","
"Average duration of 'Accepted + In Progress' before transitioning to 'Accepted + Wait - User',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - User',""5 days, 16:16:14.116298"","
"Total duration of 'Accepted + In Progress' in cases initiated by 'V30' group,The sum of the duration between activity Accepted + In Progress and the end of the case,""464 days, 17:51:08"","
"Average duration of 'Accepted + In Progress' in cases resolved within the same day,The average of the duration between activity Accepted + In Progress and the end of the case,""12 days, 1:31:32.497611"","
"Longest and shortest duration of 'Accepted + In Progress' in cases involving 'Org line C',the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + In Progress' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS filtered by the function ma == 'Org line C' where ma is the last value of organization involved,""477 days, 13:10:03"","
Average duration from 'Accepted + In Progress' to 'Completed + In Call' in cases with 'Medium' impact,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:40:31.328225,
Average elapsed time from the start of 'Accepted + In Progress' to the end of the process for cases with 'Completed + In Call',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
Comparison of average duration of 'Accepted + In Progress' in cases with 'Completed + In Call' vs. cases with 'Completed + Resolved',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
"Average duration of 'Accepted + In Progress' before reaching any 'Completed' status across all variants,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',""11 days, 0:27:37.584765"","
"Total cumulative duration of 'Accepted + In Progress' for all cases in the event log,The sum of the duration between activity Accepted + In Progress and the end of the case,""90911 days, 1:37:42"","
