Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Accepted + Wait - Vendor' to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + In Call',,
"Average resolution time after 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Resolved',""13 days, 3:15:26.987952"","
"Time difference between 'Accepted + Wait - Vendor' and the next activity,The average of the duration between activity Accepted + Wait - Vendor and the end of the case,""17 days, 19:33:42.313253"","
"Average time to reach 'Accepted + Wait - Vendor' from 'Accepted + In Progress',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Vendor',""5 days, 10:07:25.375000"","
"Total time spent in 'Accepted + Wait - Vendor' across all cases,The sum of the duration between activity Accepted + Wait - Vendor and the end of the case,""4435 days, 22:52:36"","
"Longest time spent in 'Accepted + Wait - Vendor' before moving to any 'Completed' status,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - Vendor'"""", 'end': """"activity == 'Completed + Resolved' or activity == 'Completed + Closed'"""", 'aggregation': 'maximum'}"",,"
"Average time from 'Accepted + Wait - Vendor' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Resolved',""13 days, 3:15:26.987952"","
Time from 'Accepted + Wait - Vendor' to 'Completed + Closed' in the fastest resolved case,The minimum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Closed',0:01:14,
"Total time spent in 'Accepted + Wait - Vendor' for cases with 'High' impact,The sum of the duration between activity Accepted + Wait - Vendor and the end of the case,""214 days, 15:39:53"","
"Average delay caused by 'Accepted + Wait - Vendor' in the process flow,The average of the duration between activity Accepted + Wait - Vendor and the end of the case,""17 days, 19:33:42.313253"","
"Comparison of time spent in 'Accepted + Wait - Vendor' vs. time spent in 'Accepted + Wait - User',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Accepted + Wait - User',""11 days, 13:07:42.370968"","
"Time from 'Accepted + Wait - Vendor' to 'Accepted + In Progress' in cases returning to 'Accepted + In Progress',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Accepted + In Progress',""14 days, 10:43:55.326087"","
"Total elapsed time for cases involving 'Accepted + Wait - Vendor' from start to finish,The sum of the duration between activity Accepted + Wait - Vendor and the end of the case,""4435 days, 22:52:36"","
"Average time between 'Accepted + Wait - Vendor' and the preceding activity,The average of the duration between activity Accepted + Wait - Vendor and the end of the case,""17 days, 19:33:42.313253"","
"Average time from 'Accepted + Wait - Vendor' to the first 'Completed' status in the process,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - Vendor'"""", 'end': """"activity == 'Completed + Resolved' or activity == 'Completed + Closed'"""", 'aggregation': 'average'}"",,"
"Time from 'Accepted + Wait - Vendor' to 'Queued + Awaiting Assignment' for cases that regress in the process,The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Queued + Awaiting Assignment',""11 days, 13:09:42.866667"","
"Elapsed time between 'Accepted + Wait - Vendor' and 'Accepted + Assigned' for cases requiring reassignment,The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Accepted + Assigned',""12 days, 4:35:49.531250"","
