Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Frequency of 'Declaration REJECTED by BUDGET OWNER' compared to 'Declaration APPROVED by BUDGET OWNER';Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Declaration APPROVED by BUDGET OWNER';0.01;;B
Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all budget-related activities;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Declaration APPROVED by BUDGET OWNER';0.01;;B
Number of 'Declaration REJECTED by BUDGET OWNER' that are followed by 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration REJECTED by BUDGET OWNER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;59;;B
Percentage of 'Declaration REJECTED by BUDGET OWNER' from all rejections;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases where 'Declaration APPROVED by BUDGET OWNER' does not happen;0.01;;B
Number of 'Declaration REJECTED by BUDGET OWNER' with amounts above 100 euros;Number of 'Declaration REJECTED by BUDGET OWNER' activities > 100 where ma is the last value of case:Amount;9;;A
Percentage of 'Declaration REJECTED by BUDGET OWNER' by STAFF MEMBER;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases;STAFF MEMBER:0.03;"{""STAFF MEMBER"":0.0306345733,""SYSTEM"":0.004381161}";B
Percentage of 'Declaration REJECTED by BUDGET OWNER' by STAFF MEMBER;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases;SYSTEM:0.0;"{""STAFF MEMBER"":0.0306345733,""SYSTEM"":0.004381161}";B
Number of 'Declaration REJECTED by BUDGET OWNER' grouped by case:BudgetNumber;Number of 'Declaration REJECTED by BUDGET OWNER' activities grouped by the last value of case:BudgetNumber;budget 86566:59;"{""budget 86566"":59}";A
Percentage of 'Declaration REJECTED by BUDGET OWNER' by worker;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases;STAFF MEMBER:0.03;"{""STAFF MEMBER"":0.0306345733,""SYSTEM"":0.004381161}";B
Percentage of 'Declaration REJECTED by BUDGET OWNER' by worker;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases;SYSTEM:0.0;"{""STAFF MEMBER"":0.0306345733,""SYSTEM"":0.004381161}";B
Number of 'Declaration REJECTED by BUDGET OWNER' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by BUDGET OWNER'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration REJECTED by BUDGET OWNER' that are not dismissed;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases where 'Declaration DISMISSED' does not happen;0.01;;A
Average number of 'Declaration REJECTED by BUDGET OWNER' in a month;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by BUDGET OWNER'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Total 'Declaration REJECTED by BUDGET OWNER' done by SYSTEM;Number of 'Declaration REJECTED by BUDGET OWNER' activities == 'SYSTEM' where ma is the last value of org:resource;45;;B
Ratio of 'Declaration REJECTED by BUDGET OWNER' over 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Declaration APPROVED by ADMINISTRATION';0.01;;B
Occasions how often the 'Declaration REJECTED by BUDGET OWNER' is performed in relation to total declarations;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases where '' does not happen;0.01;;B
The ratio of 'Declaration REJECTED by BUDGET OWNER' that are followed by 'Request Payment';Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Request Payment';0.0;;B
Frequency of 'Declaration REJECTED by BUDGET OWNER' in variants where 'Declaration APPROVED by BUDGET OWNER' is present;Frequency of activity 'Declaration REJECTED by BUDGET OWNER' for cases where activity 'Declaration APPROVED by BUDGET OWNER' occurs;29;;A
Percentage of cases leading to 'Declaration REJECTED by BUDGET OWNER' after 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.01;;B
Number of times 'Declaration REJECTED by BUDGET OWNER' occurs in the most frequent process variant;Number of 'Declaration REJECTED by BUDGET OWNER' activities for cases where activity 'most frequent process variant' occurs;;;D
Percentage of 'Declaration REJECTED by BUDGET OWNER' in cases with a 'Declaration REJECTED by PRE_APPROVER' aiming to reduce such occurrences;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;;B
