Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Frequency of 'Declaration FOR_APPROVAL by SUPERVISOR' followed by 'Declaration APPROVED by ADMINISTRATION';Frequency of activity 'Declaration FOR_APPROVAL by SUPERVISOR' for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;0;;B
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' leading to 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.0;;B
Number of 'Declaration FOR_APPROVAL by SUPERVISOR' that are not followed by 'Declaration REJECTED by PRE_APPROVER';Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' does not occur;1;;B
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;;A
Frequency of 'Declaration FOR_APPROVAL by SUPERVISOR' in cases where the final outcome is 'Payment Handled';Frequency of activity 'Declaration FOR_APPROVAL by SUPERVISOR' for cases where activity 'Payment Handled' occurs;0;;B
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' followed by 'Request Payment';Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Request Payment';0.0;;B
Number of 'Declaration FOR_APPROVAL by SUPERVISOR' with amounts above 100 euros;Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities > 100 where ma is the last value of case:Amount;0;;B
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' by 'org:resource';Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases;STAFF MEMBER:0.0;"{""STAFF MEMBER"":0.0021881838,""SYSTEM"":0.0}";B
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' by 'org:resource';Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases;SYSTEM:0.0;"{""STAFF MEMBER"":0.0021881838,""SYSTEM"":0.0}";B
Number of 'Declaration FOR_APPROVAL by SUPERVISOR' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' that lead to a trip taking place;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity related to trip'}";;;C
Frequency of 'Declaration FOR_APPROVAL by SUPERVISOR' in cases where 'Declaration APPROVED by BUDGET OWNER' occurs;Frequency of activity 'Declaration FOR_APPROVAL by SUPERVISOR' for cases where activity 'Declaration APPROVED by BUDGET OWNER' occurs;0;;A
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' in relation to 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;;B
Number of 'Declaration FOR_APPROVAL by SUPERVISOR' in relation to 'Declaration APPROVED by ADMINISTRATION';Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;0;;A
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' in the process variants leading to 'Payment Handled';Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Payment Handled';0.0;;B
Frequency of 'Declaration FOR_APPROVAL by SUPERVISOR' in the most common process variant;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'activity in most common process variant'}";;;C
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' in cases that require director approval;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity requires director approval'}";;;C
Number of 'Declaration FOR_APPROVAL by SUPERVISOR' in relation to total declarations filed for reimbursement;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'aggregation': 'total', 'filter': 'activity related to declarations filed for reimbursement'}";;;C
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' in cases that were filed within two months after the trip;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'time:timestamp within two months after trip'}";;;C
