Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Frequency of \Declaration REJECTED by ADMINISTRATION\ compared to \Declaration APPROVED by ADMINISTRATION\;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';0.08;;B
Percentage of \Declaration REJECTED by ADMINISTRATION\ followed by \Declaration SUBMITTED by EMPLOYEE\;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.08;;B
Number of \Declaration REJECTED by ADMINISTRATION\ that lead to a \Request Payment\;Number of 'Declaration REJECTED by ADMINISTRATION' activities for cases where activity 'Request Payment' occurs;721;;B
Percentage of \Declaration REJECTED by ADMINISTRATION\ out of all rejections;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases where 'Declaration REJECTED by ADMINISTRATION' does not happen;0.08;;B
Frequency of \Declaration REJECTED by ADMINISTRATION\ in relation to total declarations processed;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases where 'Declaration REJECTED by ADMINISTRATION' does not happen;0.08;;B
Percentage of \Declaration REJECTED by ADMINISTRATION\ by \STAFF MEMBER\;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;;;B
Number of \Declaration REJECTED by ADMINISTRATION\ with amounts above 100 euros;Number of 'Declaration REJECTED by ADMINISTRATION' activities > 100 where ma is the last value of case:Amount;327;;B
Percentage of \Declaration REJECTED by ADMINISTRATION\ followed by \Declaration REJECTED by PRE_APPROVER\;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;;B
Frequency of \Declaration REJECTED by ADMINISTRATION\ per month;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}";;;C
Percentage of \Declaration REJECTED by ADMINISTRATION\ that are not eventually performed;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases where 'Declaration REJECTED by ADMINISTRATION' does not happen;0.08;;A
Number of \Declaration REJECTED by ADMINISTRATION\ made per year;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by ADMINISTRATION'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of \Declaration REJECTED by ADMINISTRATION\ with an increment in subsequent submission;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > previous_case:Amount'}";;;C
Frequency of \Declaration REJECTED by ADMINISTRATION\ in the most common process variant;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'activity == most_common_process_variant'}";;;C
Percentage of \Declaration REJECTED by ADMINISTRATION\ in cases that exceed the average processing time;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;0.08;;B
Number of \Declaration REJECTED by ADMINISTRATION\ grouped by \case:BudgetNumber\;Number of 'Declaration REJECTED by ADMINISTRATION' activities grouped by the last value of case:BudgetNumber;budget 86566:952;"{""budget 86566"":952}";A
Percentage of \Declaration REJECTED by ADMINISTRATION\ by \org:resource\ compared to other activities by the same resource;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'org:resource == current_org:resource'}";;;C
Frequency of \Declaration REJECTED by ADMINISTRATION\ before \Declaration APPROVED by BUDGET OWNER\;Frequency of activity 'Declaration REJECTED by ADMINISTRATION' for cases where activity 'Declaration APPROVED by BUDGET OWNER' occurs;239;;A
Percentage of \Declaration REJECTED by ADMINISTRATION\ in cases with \case:Amount\ above the average;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > average_case:Amount'}";;;C
Number of \Declaration REJECTED by ADMINISTRATION\ followed by \Declaration APPROVED by ADMINISTRATION\;Number of 'Declaration REJECTED by ADMINISTRATION' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;736;;B
Percentage of \Declaration REJECTED by ADMINISTRATION\ in the first quarter of the year compared to the rest of the year;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;0.08;;B
