Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of 'Request Payment' out of all 'Payment Handled';Percentage of 'Request Payment' out of all 'Payment Handled';1.0;;A
Number of 'Request Payment';Number of 'Request Payment' activities;10040;;A
Frequency of 'Declaration FINAL_APPROVED by SUPERVISOR' followed by 'Request Payment';Percentage of 'Request Payment' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';1.0;;B
Percentage of 'Request Payment' with amounts above 100 euros;Percentage of 'Request Payment' out of all cases;1.0;;B
Number of 'Request Payment' made per year;"ERROR: computing metric {'count': ""activity == 'Request Payment'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Request Payment' that are followed by 'Payment Handled';Percentage of 'Request Payment' out of all 'Payment Handled';1.0;;B
Average number of 'Request Payment' in a month;"ERROR: computing metric {'count': ""activity == 'Request Payment'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Frequency of 'Declaration REJECTED by PRE_APPROVER' leading to a re-submission before 'Request Payment';Percentage of 'Request Payment' out of all 'Declaration REJECTED by PRE_APPROVER';0.89;;B
Percentage of 'Request Payment' preceded by 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Request Payment' out of all 'Declaration APPROVED by ADMINISTRATION';0.99;;B
Number of 'Request Payment' grouped by 'case:BudgetNumber';Number of 'Request Payment' activities grouped by the last value of case:BudgetNumber;budget 86566:10040;"{""budget 86566"":10040}";A
Percentage of 'Request Payment' by 'org:resource';Percentage of 'Request Payment' out of all cases;STAFF MEMBER:0.01;"{""STAFF MEMBER"":0.0087527352,""SYSTEM"":0.9993029971}";B
Percentage of 'Request Payment' by 'org:resource';Percentage of 'Request Payment' out of all cases;SYSTEM:1.0;"{""STAFF MEMBER"":0.0087527352,""SYSTEM"":0.9993029971}";B
Total 'Request Payment' performed by 'STAFF MEMBER';Number of 'Request Payment' activities == 'STAFF MEMBER' where ma is the last value of org:resource;4;;B
Ratio of 'Request Payment' over 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Request Payment' out of all 'Declaration SUBMITTED by EMPLOYEE';0.97;;B
Occasions how often 'Request Payment' is performed after 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Request Payment' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';1.0;;B
The ratio of 'Request Payment' that are not eventually followed by 'Payment Handled';Percentage of 'Request Payment' out of all cases where 'Payment Handled' does not happen;0.96;;B
