Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration APPROVED by ADMINISTRATION';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2 days 14:16:11.181887;;A
Average time from 'Declaration APPROVED by ADMINISTRATION' to 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';3 days 04:12:26.541851;;A
Total time for 'Declaration APPROVED by ADMINISTRATION' in cases leading to 'Request Payment';The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and the end of case where activity 'Request Payment occurs;74950 days 15:47:43;;B
Minimum time for 'Declaration APPROVED by ADMINISTRATION' across all cases;The minimum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;0 days 00:18:39;;A
Average time from 'Declaration APPROVED by ADMINISTRATION' to 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Total resolution time of 'Declaration APPROVED by ADMINISTRATION' in cases where 'Payment Handled' follows without rejections;The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Payment Handled';75549 days 06:01:41;;B
Average waiting time to the 'Declaration APPROVED by ADMINISTRATION' after 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2 days 14:16:11.181887;;B
Total time it takes 'Declaration APPROVED by ADMINISTRATION' after the execution of 'Declaration SUBMITTED by EMPLOYEE';The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';20712 days 11:35:45;;A
Minimum time it takes the 'Declaration APPROVED by ADMINISTRATION' to be done after 'Declaration SUBMITTED by EMPLOYEE';The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';0 days 00:00:01;;B
Average time for 'Declaration APPROVED by ADMINISTRATION' in cases that were initially rejected by any role;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by EMPLOYEE occurs;11 days 20:00:53.762500;;B
Total time for 'Declaration APPROVED by ADMINISTRATION' in cases exceeding the budget;"ERROR: computing metric {'begin': ""activity == 'Declaration APPROVED by ADMINISTRATION'"", 'end': '', 'aggregation': 'total', 'filter': 'case:Amount > budget_limit'}";;;D
Average time from 'Declaration APPROVED by ADMINISTRATION' to 'Payment Handled' in cases without rejections;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Payment Handled';9 days 12:54:29.599924;;B
Minimum resolution time of 'Declaration APPROVED by ADMINISTRATION' in cases with direct approval from 'Declaration SUBMITTED by EMPLOYEE';The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';0 days 00:00:01;;B
Average time from 'Declaration APPROVED by ADMINISTRATION' to 'Declaration REJECTED by PRE_APPROVER' in cases leading to re-submission;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Total time for 'Declaration APPROVED by ADMINISTRATION' in cases requiring director approval;The sum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case;;;D
