Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by BUDGET OWNER';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by BUDGET OWNER';4 days 00:23:41.775862;;A
Average time between 'Declaration REJECTED by BUDGET OWNER' and 'Declaration SUBMITTED by EMPLOYEE' for re-submission;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration SUBMITTED by EMPLOYEE';10 days 20:34:02.488889;;A
Average resolution time for cases involving 'Declaration REJECTED by BUDGET OWNER';The average of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;16 days 19:40:05.448276;;B
Difference in average time between 'Declaration APPROVED by ADMINISTRATION' and 'Declaration REJECTED by BUDGET OWNER' versus 'Declaration APPROVED by ADMINISTRATION' and 'Declaration FINAL_APPROVED by SUPERVISOR';ERROR;;;C
Average time from 'Declaration REJECTED by BUDGET OWNER' to 'Declaration APPROVED by BUDGET OWNER' in cases of re-submission and eventual approval;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration APPROVED by BUDGET OWNER';12 days 09:47:46.428571;;B
Total time spent in 'Declaration REJECTED by BUDGET OWNER' status across all cases;The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;975 days 12:45:16;;B
Average time from 'Declaration REJECTED by BUDGET OWNER' to 'Request Payment' in cases where the declaration is eventually approved;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Request Payment';14 days 20:52:46.704545;;B
Minimum time taken for a case to be resolved after 'Declaration REJECTED by BUDGET OWNER';The minimum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;0 days 00:47:20;;B
Average time for a case to move from 'Declaration REJECTED by BUDGET OWNER' to any subsequent activity;The average of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;16 days 19:40:05.448276;;B
Total resolution time of cases with 'Declaration REJECTED by BUDGET OWNER' as a step;The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;975 days 12:45:16;;B
Average waiting time before 'Declaration REJECTED by BUDGET OWNER' is overturned in favor of approval;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration APPROVED by BUDGET OWNER';12 days 09:47:46.428571;;B
Average time it takes for 'Declaration REJECTED by BUDGET OWNER' to be followed by 'Declaration APPROVED by SUPERVISOR' in cases where it occurs;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration APPROVED by SUPERVISOR';;;D
Difference in average handling time of cases with 'Declaration REJECTED by BUDGET OWNER' versus those without this step;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and the end of case where activity 'Declaration REJECTED by BUDGET OWNER does not occur;16 days 19:40:05.448276;;A
Average time from 'Declaration REJECTED by BUDGET OWNER' to final case closure; regardless of outcome;The average of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;16 days 19:40:05.448276;D
Total time cases spend in 'Declaration REJECTED by BUDGET OWNER' status before being re-submitted or closed;The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;975 days 12:45:16;;B
