Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Request Payment' to 'Payment Handled';The average of the duration between activity 'Request Payment' and activity 'Payment Handled';3 days, 13:47:24.830228;;A
Difference in average time between 'Declaration FINAL_APPROVED by SUPERVISOR' and 'Payment Handled' across different departments;The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled';STAFF MEMBER:NaT;"{""STAFF MEMBER"":null,""SYSTEM"":597925988}";A
Difference in average time between 'Declaration FINAL_APPROVED by SUPERVISOR' and 'Payment Handled' across different departments;The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled';SYSTEM:6 days 22:05:25.988449;"{""STAFF MEMBER"":null,""SYSTEM"":597925988}";A
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Payment Handled' for cases involving 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';23 days, 12:51:47.027778;;B
Total time from 'Declaration APPROVED by ADMINISTRATION' to 'Payment Handled' for all cases;The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Payment Handled';75549 days, 6:01:41;;A
Minimum time from 'Declaration APPROVED by BUDGET OWNER' to 'Payment Handled';The minimum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Payment Handled';1 day, 1:16:27;;A
Average resolution time for 'Payment Handled' in cases where 'Declaration REJECTED by PRE_APPROVER' occurred;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Payment Handled';21 days, 4:18:30.291667;;B
Total resolution time of 'Payment Handled' for cases approved by the director;The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Payment Handled';;;D
Difference in minimum time to 'Payment Handled' between domestic and international travel claims;"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': ""activity == 'Payment Handled'"", 'aggregation': 'minimum', 'group_by': 'case:travelType'}";;;D
Average time from the first 'Declaration SUBMITTED by EMPLOYEE' to 'Payment Handled' in cases with multiple submissions;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';11 days, 14:49:13.461715;;A
Total time for 'Payment Handled' in cases where 'Declaration REJECTED by ADMINISTRATION' occurred;The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Payment Handled';10860 days, 9:50:12;;A
Average time from 'Declaration APPROVED by PRE_APPROVER' to 'Payment Handled' in successful cases;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Payment Handled';9 days, 23:37:34.222727;;A
Minimum time from 'Declaration FINAL_APPROVED by SUPERVISOR' to 'Payment Handled' for cases without prior permission for domestic trips;The minimum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled';23:36:15;;B
Average waiting time to 'Payment Handled' after 'Request Payment' for cases exceeding two months from trip completion;The average of the duration between activity 'Request Payment' and activity 'Payment Handled';3 days, 13:47:24.830228;;B
Total time it takes 'Payment Handled' after 'Declaration APPROVED by ADMINISTRATION' in cases with director approval;The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Payment Handled';;;D
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Payment Handled' in cases that were resubmitted and approved;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Payment Handled';15 days, 0:20:25.427646;;B
