Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of Declaration SUBMITTED by EMPLOYEE that lead to Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Declaration APPROVED by ADMINISTRATION';1.0;;B
Frequency of Declaration SUBMITTED by EMPLOYEE followed by Declaration REJECTED by PRE_APPROVER;Number of 'Declaration SUBMITTED by EMPLOYEE' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;163;;B
Percentage of Declaration SUBMITTED by EMPLOYEE out of all Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';1.0;;A
Number of Declaration SUBMITTED by EMPLOYEE that are preceded by Declaration REJECTED by EMPLOYEE;Number of 'Declaration SUBMITTED by EMPLOYEE' activities for cases where activity 'Declaration REJECTED by EMPLOYEE' occurs;2322;;B
Percentage of Declaration SUBMITTED by EMPLOYEE with amounts above 100 euros;Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all cases;1.0;;B
Percentage of Declaration SUBMITTED by EMPLOYEE by EMPLOYEE;Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all cases;0.68;;B
Number of Declaration SUBMITTED by EMPLOYEE grouped by case:BudgetNumber;Number of 'Declaration SUBMITTED by EMPLOYEE' activities grouped by the last value of case:BudgetNumber;budget 86566:11531;"{""budget 86566"":11531}";A
Percentage of Declaration SUBMITTED by EMPLOYEE by year;"ERROR: computing metric {'count': ""activity == 'Declaration SUBMITTED by EMPLOYEE'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'year'}";;;C
Frequency of Declaration SUBMITTED by EMPLOYEE in variants leading to Request Payment;Number of 'Declaration SUBMITTED by EMPLOYEE' activities for cases where activity 'Request Payment' occurs;11157;;B
Percentage of Declaration SUBMITTED by EMPLOYEE that are not followed by Declaration REJECTED by PRE_APPROVER to reduce the number of rejections;Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all cases where 'Declaration REJECTED by PRE_APPROVER' does not happen;0.99;;B
Average number of Declaration SUBMITTED by EMPLOYEE in a month;"ERROR: computing metric {'count': ""activity == 'Declaration SUBMITTED by EMPLOYEE'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Total Declaration SUBMITTED by EMPLOYEE done by STAFF MEMBER;Number of 'Declaration SUBMITTED by EMPLOYEE' activities == 'STAFF MEMBER' where ma is the last value of org:role;;;D
Ratio of Declaration SUBMITTED by EMPLOYEE over Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Declaration APPROVED by ADMINISTRATION';1.0;;B
Occasions how often Declaration SUBMITTED by EMPLOYEE is performed before Declaration REJECTED by PRE_APPROVER;Number of 'Declaration SUBMITTED by EMPLOYEE' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;163;;B
