Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of 'Declaration APPROVED by ADMINISTRATION' before 'Request Payment';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Request Payment';0.79;;B
Number of 'Declaration APPROVED by ADMINISTRATION';Number of 'Declaration APPROVED by ADMINISTRATION' activities;8202;;A
Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.77;;A
Number of 'Declaration APPROVED by ADMINISTRATION' that are preceded by 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration APPROVED by ADMINISTRATION' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;8202;;B
Percentage of 'Declaration APPROVED by ADMINISTRATION' that lead to 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.79;;B
Percentage of 'Declaration APPROVED by ADMINISTRATION' from all 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.79;;A
Number of 'Declaration APPROVED by ADMINISTRATION' with amounts above 100 euros;Number of 'Declaration APPROVED by ADMINISTRATION' activities > 100 where ma is the last value of case:Amount;1907;;B
Percentage of 'Declaration APPROVED by ADMINISTRATION' by 'org:resource';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;STAFF MEMBER:0.14;"{""STAFF MEMBER"":0.1356673961,""SYSTEM"":0.7887085532}";B
Percentage of 'Declaration APPROVED by ADMINISTRATION' by 'org:resource';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;SYSTEM:0.79;"{""STAFF MEMBER"":0.1356673961,""SYSTEM"":0.7887085532}";B
Number of 'Declaration APPROVED by ADMINISTRATION' grouped by 'case:BudgetNumber';Number of 'Declaration APPROVED by ADMINISTRATION' activities grouped by the last value of case:BudgetNumber;budget 86566:8202;"{""budget 86566"":8202}";A
Percentage of 'Declaration APPROVED by ADMINISTRATION' by worker;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;STAFF MEMBER:0.14;"{""STAFF MEMBER"":0.1356673961,""SYSTEM"":0.7887085532}";B
Percentage of 'Declaration APPROVED by ADMINISTRATION' by worker;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;SYSTEM:0.79;"{""STAFF MEMBER"":0.1356673961,""SYSTEM"":0.7887085532}";B
Percentage of 'Declaration APPROVED by ADMINISTRATION' followed by 'Payment Handled';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Payment Handled';0.79;;B
Number of 'Declaration APPROVED by ADMINISTRATION' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by ADMINISTRATION'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration APPROVED by ADMINISTRATION' that are followed by 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration REJECTED by PRE_APPROVER';0.02;;B
Number of 'Declaration APPROVED by ADMINISTRATION' in relation to 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration APPROVED by ADMINISTRATION' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;8202;;B
Percentage of 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.76;;A
Number of times 'Declaration APPROVED by ADMINISTRATION' is performed;Number of 'Declaration APPROVED by ADMINISTRATION' activities;8202;;A
Percentage of 'Declaration APPROVED by ADMINISTRATION' done after 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.77;;B
Average number of 'Declaration APPROVED by ADMINISTRATION' per month;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by ADMINISTRATION'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Percentage of 'Declaration APPROVED by ADMINISTRATION' with an increment in 'case:Amount';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.79;;B
Percentage of 'Declaration APPROVED by ADMINISTRATION' leading to a 'Payment Handled';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Payment Handled';0.79;;B
Average number of 'Declaration APPROVED by ADMINISTRATION' that are followed by 'Declaration FINAL_APPROVED by SUPERVISOR';the average of the number of times `ACTIVITY` == 'Declaration APPROVED by ADMINISTRATION' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration FINAL_APPROVED by SUPERVISOR';0.81;;B
Percentage of 'Declaration APPROVED by ADMINISTRATION' with penalty;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.76;;B
Average number of 'Declaration APPROVED by ADMINISTRATION' in a month;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by ADMINISTRATION'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Total 'Declaration APPROVED by ADMINISTRATION' done by 'org:resource';Number of 'Declaration APPROVED by ADMINISTRATION' activities grouped by the last value of org:resource;STAFF MEMBER:64;"{""STAFF MEMBER"":64,""SYSTEM"":8138}";A
Total 'Declaration APPROVED by ADMINISTRATION' done by 'org:resource';Number of 'Declaration APPROVED by ADMINISTRATION' activities grouped by the last value of org:resource;SYSTEM:8138;"{""STAFF MEMBER"":64,""SYSTEM"":8138}";A
Fraction of 'Declaration APPROVED by ADMINISTRATION' that are dismissed;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.76;;B
Total 'Declaration APPROVED by ADMINISTRATION' performed by 'org:resource';Number of 'Declaration APPROVED by ADMINISTRATION' activities grouped by the last value of org:resource;STAFF MEMBER:64;"{""STAFF MEMBER"":64,""SYSTEM"":8138}";A
Total 'Declaration APPROVED by ADMINISTRATION' performed by 'org:resource';Number of 'Declaration APPROVED by ADMINISTRATION' activities grouped by the last value of org:resource;SYSTEM:8138;"{""STAFF MEMBER"":64,""SYSTEM"":8138}";A
Ratio of 'Declaration APPROVED by ADMINISTRATION' over 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.77;;B
Occasions how often the 'Declaration APPROVED by ADMINISTRATION' is performed;Number of 'Declaration APPROVED by ADMINISTRATION' activities;8202;;A
The ratio of 'Declaration APPROVED by ADMINISTRATION' that lead to 'Payment Handled';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Payment Handled';0.79;;B
