Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' followed by 'Declaration APPROVED by PRE_APPROVER';Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration APPROVED by PRE_APPROVER';0.0;;B
Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' followed by 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;;B
Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' that lead to 'Payment Handled';Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' activities for cases where activity 'Payment Handled' occurs;0;;B
Frequency of 'Declaration FOR_APPROVAL by PRE_APPROVER' in cases with amounts above 100 euros;Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' activities > 100 where ma is the last value of case:Amount;1;;B
Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;;A
Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' per month;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'month'}";;;C
Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' that are not followed by 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all cases where 'Declaration REJECTED by PRE_APPROVER' does not happen;0.0;;B
Ratio of 'Declaration FOR_APPROVAL by PRE_APPROVER' over 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.0;;B
Frequency of 'Declaration FOR_APPROVAL by PRE_APPROVER' in the most common process variant;Frequency of activity 'Declaration FOR_APPROVAL by PRE_APPROVER';1;;B
Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' by 'org:resource';Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all cases;STAFF MEMBER:0.0;"{""STAFF MEMBER"":0.0021881838,""SYSTEM"":0.0}";B
Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' by 'org:resource';Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all cases;SYSTEM:0.0;"{""STAFF MEMBER"":0.0021881838,""SYSTEM"":0.0}";B
Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' followed by 'Request Payment';Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' activities for cases where activity 'Request Payment' occurs;0;;B
Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' in cases that exceed the two-month reimbursement period;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all cases;0.0;;B
Frequency of 'Declaration FOR_APPROVAL by PRE_APPROVER' in cases that involve director approval;Frequency of activity 'Declaration FOR_APPROVAL by PRE_APPROVER';;;D
Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' in domestic declarations compared to international travel claims;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all cases;0.0;;B
Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' in relation to 'Declaration APPROVED by ADMINISTRATION';Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;0;;B
