Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average duration of 'Accepted + Wait - User' before transitioning to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',""8 days, 3:34:57.158730"","
"Median duration of 'Accepted + Wait - User' across all cases,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': '', 'aggregation': 'median'}"",,"
"Longest duration of 'Accepted + Wait - User' before any subsequent activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - User' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""477 days, 9:44:30"","
Shortest duration of 'Accepted + Wait - User' before transitioning to any subsequent activity,The minimum of the duration between activity Accepted + Wait - User and the end of the case,0:00:00,
"Average duration from 'Accepted + Wait - User' to 'Accepted + In Progress' compared to 'Accepted + Wait - User' to 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + Wait - User' and activity 'Accepted + In Progress',""13 days, 15:56:10.623377"","
"Total duration of all 'Accepted + Wait - User' activities within the event log,The sum of the duration between activity Accepted + Wait - User and the end of the case,""43386 days, 0:31:20"","
"Distribution of duration for 'Accepted + Wait - User' across different 'impact' levels,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': '', 'aggregation': 'distribution', 'group_by': 'impact'}"",,"
"Average duration from 'Accepted + Wait - User' to 'Completed + In Call' for cases ending with 'Completed + Closed',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',""2 days, 12:29:33.833333"","
"Total duration from the first occurrence of 'Accepted + Wait - User' to 'Completed + In Call' in each case,The sum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',""513 days, 9:42:01"","
"Average duration between 'Accepted + Wait - User' and the next occurrence of 'Accepted + In Progress',The average of the duration between activity 'Accepted + Wait - User' and activity 'Accepted + In Progress',""13 days, 15:56:10.623377"","
"Time elapsed from 'Accepted + Wait - User' to the final activity in cases where 'Completed + In Call' is present,The sum of the duration between activity 'Accepted + Wait - User' and the end of case where activity 'Completed + In Call occurs,""1290 days, 12:04:12"","
"Comparison of average duration of 'Accepted + Wait - User' in cases with 'Completed + In Call' versus without,The average of the duration between activity 'Accepted + Wait - User' and the end of case where activity 'Completed + In Call occurs,""11 days, 12:32:10.821429"","
"Longest and shortest duration of 'Accepted + Wait - User' in the context of the incident and problem management system (VINST),""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': '', 'aggregation': 'maximum || minimum'}"",,"
"Average duration of 'Accepted + Wait - User' before reaching any 'Completed' status activity,The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',""13 days, 6:24:12.307850"","
"Distribution of 'Accepted + Wait - User' duration across different products ('product'),""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': '', 'aggregation': 'distribution', 'group_by': 'product'}"",,"
"Time until 'Accepted + Wait - User' from case start for cases that include 'Completed + In Call',The sum of the duration between activity 'Accepted + Wait - User' and the end of case where activity 'Completed + In Call occurs,""1290 days, 12:04:12"","
Duration of 'Accepted + Wait - User' in the top 5 longest process variants involving this activity,the maximum of the function base > 5 where base is the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - User' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,True,
