Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Frequency of 'Declaration SAVED by EMPLOYEE' followed by 'Declaration SUBMITTED by EMPLOYEE';Frequency of activity 'Declaration SAVED by EMPLOYEE' for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;0;;B
Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;;A
Number of 'Declaration SAVED by EMPLOYEE' that are not followed by 'Declaration REJECTED by PRE_APPROVER';Frequency of activity 'Declaration SAVED by EMPLOYEE' for cases where activity 'Declaration REJECTED by PRE_APPROVER' does not occur;135;;B
Percentage of 'Declaration SAVED by EMPLOYEE' that lead to a 'Request Payment';Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Request Payment';0.0;;B
Frequency of 'Declaration SAVED by EMPLOYEE' in relation to 'Declaration APPROVED by ADMINISTRATION';Frequency of activity 'Declaration SAVED by EMPLOYEE' for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;0;;B
Percentage of 'Declaration SAVED by EMPLOYEE' followed by 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.0;;B
Number of 'Declaration SAVED by EMPLOYEE' with amounts above 100 euros;Number of 'Declaration SAVED by EMPLOYEE' activities > 100 where ma is the last value of case:Amount;0;;B
Percentage of 'Declaration SAVED by EMPLOYEE' by 'STAFF MEMBER';Percentage of 'Declaration SAVED by EMPLOYEE' out of all cases;;;D
Number of 'Declaration SAVED by EMPLOYEE' grouped by 'case:BudgetNumber';Number of 'Declaration SAVED by EMPLOYEE' activities grouped by the last value of case:BudgetNumber;budget 86566:135;"{""budget 86566"":135}";A
Percentage of 'Declaration SAVED by EMPLOYEE' by worker;Percentage of 'Declaration SAVED by EMPLOYEE' out of all cases;0.01;;B
Percentage of 'Declaration SAVED by EMPLOYEE' followed by 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;;B
Number of 'Declaration SAVED by EMPLOYEE' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration SAVED by EMPLOYEE'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration SAVED by EMPLOYEE' that are not dismissed;Percentage of 'Declaration SAVED by EMPLOYEE' out of all cases where 'Declaration REJECTED by EMPLOYEE' does not happen;0.01;;B
Number of 'Declaration SAVED by EMPLOYEE' in relation to 'Declaration REJECTED by PRE_APPROVER';Frequency of activity 'Declaration SAVED by EMPLOYEE' for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;0;;B
Percentage of 'Declaration SAVED by EMPLOYEE';Percentage of 'Declaration SAVED by EMPLOYEE' out of all cases;0.01;;A
Number of times 'Declaration SAVED by EMPLOYEE' is performed;Number of 'Declaration SAVED by EMPLOYEE' activities;135;;A
Percentage of 'Declaration SAVED by EMPLOYEE' done after 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;;B
Average number of 'Declaration SAVED by EMPLOYEE' in a month;"ERROR: computing metric {'count': ""activity == 'Declaration SAVED by EMPLOYEE'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Percentage of 'Declaration SAVED by EMPLOYEE' with an increment;"ERROR: computing metric {'count': ""activity == 'Declaration SAVED by EMPLOYEE'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > previous_case:Amount'}";;;C
Percentage of 'Declaration SAVED by EMPLOYEE' with appeal;Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Appeal';;;D
Average number of 'Declaration SAVED by EMPLOYEE' that are followed by 'Declaration APPROVED by ADMINISTRATION';the average of the number of times `ACTIVITY` == 'Declaration SAVED by EMPLOYEE' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration APPROVED by ADMINISTRATION';0.0;;B
Percentage of 'Declaration SAVED by EMPLOYEE' with penalty;Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Penalty';;;D
Total 'Declaration SAVED by EMPLOYEE' done by 'STAFF MEMBER';Number of 'Declaration SAVED by EMPLOYEE' activities == 'STAFF MEMBER' where ma is the last value of org:role;;;D
Fraction of 'Declaration SAVED by EMPLOYEE' that are dismissed;Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration REJECTED by EMPLOYEE';0.0;;B
Ratio of 'Declaration SAVED by EMPLOYEE' over 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration SAVED by EMPLOYEE' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;;B
Occasions how often the 'Declaration SAVED by EMPLOYEE' is performed before 'Declaration APPROVED by ADMINISTRATION';Frequency of activity 'Declaration SAVED by EMPLOYEE' for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;0;;B
The ratio of 'Declaration SAVED by EMPLOYEE' that are not eventually followed by 'Request Payment';Percentage of 'Declaration SAVED by EMPLOYEE' out of all cases where 'Request Payment' does not happen;0.01;;B
