Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Frequency of 'Declaration REJECTED by PRE_APPROVER' compared to 'Declaration APPROVED by PRE_APPROVER';Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all 'Declaration APPROVED by PRE_APPROVER';0.1;;B
Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all rejection activities;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity LIKE 'Declaration REJECTED by %'""}";;;C
Number of 'Declaration REJECTED by PRE_APPROVER' followed by 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration REJECTED by PRE_APPROVER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;86;;B
Percentage of 'Declaration REJECTED by PRE_APPROVER' leading to a re-submission by the same employee within 30 days;Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all cases;0.01;;B
Frequency of 'Declaration REJECTED by PRE_APPROVER' in relation to total declarations submitted;Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.01;;B
Percentage reduction of 'Declaration REJECTED by PRE_APPROVER' over a quarterly period;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'quarter'}";;;C
Number of 'Declaration REJECTED by PRE_APPROVER' with amounts above 100 euros;Number of 'Declaration REJECTED by PRE_APPROVER' activities > 100 where ma is the last value of case:Amount;22;;B
Percentage of 'Declaration REJECTED by PRE_APPROVER' by each 'org:resource';Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all cases;STAFF MEMBER:0.02;"{""STAFF MEMBER"":0.0196936543,""SYSTEM"":0.0071691726}";B
Percentage of 'Declaration REJECTED by PRE_APPROVER' by each 'org:resource';Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all cases;SYSTEM:0.01;"{""STAFF MEMBER"":0.0196936543,""SYSTEM"":0.0071691726}";B
Frequency of 'Declaration REJECTED by PRE_APPROVER' per month;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}";;;C
Percentage of 'Declaration REJECTED by PRE_APPROVER' followed by 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;;B
Number of 'Declaration REJECTED by PRE_APPROVER' in each variant path;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'variant'}";;;C
Percentage of 'Declaration REJECTED by PRE_APPROVER' that lead to an eventual approval after re-submission;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'Declaration APPROVED by %'""}";;;C
Frequency of 'Declaration REJECTED by PRE_APPROVER' compared to 'Declaration REJECTED by BUDGET OWNER';Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all 'Declaration REJECTED by BUDGET OWNER';0.0;;B
Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all activities in the event log;Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all cases where '' does not happen;0.01;;B
Number of times 'Declaration REJECTED by PRE_APPROVER' occurs in the most frequent process variant;Number of 'Declaration REJECTED by PRE_APPROVER' activities;86;;B
Percentage of 'Declaration REJECTED by PRE_APPROVER' that are followed by 'Payment Handled' within the same case;Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all 'Payment Handled';0.01;;B
Frequency of 'Declaration REJECTED by PRE_APPROVER' in cases with amounts above the average case amount;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'case:Amount > average'}";;;C
Percentage of 'Declaration REJECTED by PRE_APPROVER' in the first half of the year compared to the second half;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'half-year'}";;;C
