Name;Metric;Value;Agrupation;Colum77;
;ERROR: computing metric {};;;;
Number of Declaration APPROVED by PRE_APPROVER;Number of 'Declaration APPROVED by PRE_APPROVER' activities;685;;A;
Percentage of Declaration APPROVED by PRE_APPROVER out of all Declaration SUBMITTED by EMPLOYEE;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.06;;A;
Number of Declaration APPROVED by PRE_APPROVER that are preceded by Declaration SUBMITTED by EMPLOYEE;Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;685;;B;
Percentage of Declaration APPROVED by PRE_APPROVER that lead to Request Payment;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Request Payment';0.07;;B;
Number of Declaration APPROVED by PRE_APPROVER with amounts above 100 euros;Number of 'Declaration APPROVED by PRE_APPROVER' activities > 100 where ma is the last value of case:Amount;139;;B;
Number of Declaration APPROVED by PRE_APPROVER grouped by case:BudgetNumber;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of case:BudgetNumber;budget 86566:685;"{""budget 86566"":685}";A;
Number of Declaration APPROVED by PRE_APPROVER made per year;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'year'}";;;C;
Average number of Declaration APPROVED by PRE_APPROVER per month;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'average', 'group_by': 'month'}";;;C;
Total Declaration APPROVED by PRE_APPROVER done by STAFF MEMBER;Number of 'Declaration APPROVED by PRE_APPROVER' activities == 'STAFF MEMBER' where ma is the last value of org:role;;;D;
Total Declaration APPROVED by PRE_APPROVER performed by SYSTEM;Number of 'Declaration APPROVED by PRE_APPROVER' activities == 'SYSTEM' where ma is the last value of org:resource;679;;B;ma?
