Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average time from 'SW-Reviewer Agreed' to 'Awaiting Assignment to Batch',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'Awaiting Assignment to Batch',""316 days, 4:05:03.823529"","
"Total time from 'SW-Reviewer Agreed' to 'Awaiting Assignment to Batch' across all cases,The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'Awaiting Assignment to Batch',""5374 days, 21:26:05"","
"Minimum time from 'SW-Reviewer Agreed' to 'Awaiting Assignment to Batch',The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'Awaiting Assignment to Batch',""132 days, 17:35:00"","
"Average time from 'Manuscript Export Succeeded' to 'Awaiting Assignment to Batch',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Awaiting Assignment to Batch',""258 days, 17:47:15.416667"","
"Total resolution time of 'Awaiting Assignment to Batch',The sum of the duration between activity Awaiting Assignment to Batch and the end of the case,""131 days, 11:45:06"","
"Minimum time from 'First Look-Your updates are overdue' to 'Awaiting Assignment to Batch',The minimum of the duration between activity 'First Look-Your updates are overdue' and activity 'Awaiting Assignment to Batch',""14 days, 7:57:51"","
"Average time for 'Awaiting Assignment to Batch' after 'First Look Manuscript Submission Confirmation',The average of the duration between activity 'First Look Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch',""79 days, 12:34:17.916667"","
"Total time for 'Awaiting Assignment to Batch' after 'Revised Manuscript Submission Confirmation',The sum of the duration between activity 'Revised Manuscript Submission Confirmation' and activity 'Awaiting Assignment to Batch',""3449 days, 15:42:23"","
"Minimum resolution time of 'Awaiting Assignment to Batch' after 'SW-EIC Accept',The minimum of the duration between activity 'SW-EIC Accept' and activity 'Awaiting Assignment to Batch',""17 days, 13:21:52"","
"Average waiting time to 'Awaiting Assignment to Batch' after 'SW-EIC Major Revision',The average of the duration between activity 'SW-EIC Major Revision' and activity 'Awaiting Assignment to Batch',""247 days, 17:42:02"","
"Total time it takes 'Awaiting Assignment to Batch' to be done after 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'Awaiting Assignment to Batch',""5627 days, 5:39:30"","
"Average time for 'Awaiting Assignment to Batch' grouped by 'case:concept:name',""ERROR: computing metric {'begin': """"activity == 'Awaiting Assignment to Batch'"""", 'end': '', 'aggregation': 'average', 'group_by': 'case:concept:name'}"",,"
