Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Median resolution time for 'Completed + Resolved',""ERROR: computing metric {'begin': """"activity == 'Completed + Resolved'"""", 'end': '', 'aggregation': 'median'}"",,"
"Average time difference between 'Accepted + In Progress' and 'Completed + Resolved',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',""11 days, 0:27:37.584765"","
"Average time from 'Completed + In Call' to 'Completed + Resolved',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Resolved',""9 days, 1:33:40.911111"","
"Total resolution time for all 'Completed + Resolved' activities,The sum of the duration between activity Completed + Resolved and the end of the case,""34669 days, 20:46:11"","
"Average time from 'Completed + Resolved' to 'Completed + Closed',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Closed',""6 days, 5:09:22.288841"","
"Distribution of resolution times for 'Completed + Resolved',""ERROR: computing metric {'begin': """"activity == 'Completed + Resolved'"""", 'end': '', 'aggregation': 'distribution'}"",,"
"Time variance for 'Completed + Resolved' across different organization countries,""ERROR: computing metric {'begin': """"activity == 'Completed + Resolved'"""", 'end': '', 'aggregation': 'variance', 'group_by': 'organization country'}"",,"
"Average time from 'Queued + Awaiting Assignment' to 'Completed + Resolved',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Resolved',""12 days, 5:20:13.389973"","
Longest and shortest resolution times for 'Completed + Resolved',The minimum of the duration between activity Completed + Resolved and the end of the case,0:00:00,
"Average time from 'Accepted + Wait - User' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',""13 days, 6:24:12.307850"","
Comparison of average resolution time between 'Completed + Resolved' and 'Completed + In Call',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + In Call',,
"Total time spent in 'Completed + Resolved' for cases with 'High' impact,The sum of the duration between activity Completed + Resolved and the end of the case,""1649 days, 9:34:46"","
"Average time from 'Accepted + Assigned' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Resolved',""14 days, 15:54:44.557503"","
"Time from first 'Accepted + In Progress' to 'Completed + Resolved' in the most frequent variant,""ERROR: computing metric {'begin': """"activity == 'Accepted + In Progress'"""", 'end': """"activity == 'Completed + Resolved'"""", 'aggregation': 'first', 'filter': """"variant == 'most frequent'""""}"",,"
"Average time from 'Completed + Resolved' to the next activity,The average of the duration between activity Completed + Resolved and the end of the case,""6 days, 2:55:55.742716"","
"Distribution of time intervals between 'Completed + Resolved' and 'Completed + Closed' across different products,""ERROR: computing metric {'begin': """"activity == 'Completed + Resolved'"""", 'end': """"activity == 'Completed + Closed'"""", 'aggregation': 'distribution', 'group_by': 'product'}"",,"
