Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR out of all Declaration SUBMITTED by EMPLOYEE;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE';0.97;;A
Number of Declaration FINAL_APPROVED by SUPERVISOR that are preceded by Declaration APPROVED by ADMINISTRATION;Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;7924;;B
Percentage of Declaration FINAL_APPROVED by SUPERVISOR from all Declaration APPROVED by BUDGET OWNER;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by BUDGET OWNER';1.0;;A
Number of Declaration FINAL_APPROVED by SUPERVISOR with amounts above 100 euros;Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities > 100 where ma is the last value of case:Amount;2337;;B
Percentage of Declaration FINAL_APPROVED by SUPERVISOR by SUPERVISOR;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases;0.0;;B
Number of Declaration FINAL_APPROVED by SUPERVISOR grouped by case:BudgetNumber;Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities grouped by the last value of case:BudgetNumber;budget 86566:10131;"{""budget 86566"":10131}";A
Percentage of Declaration FINAL_APPROVED by SUPERVISOR by worker;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases;0.96;;B
Number of Declaration FINAL_APPROVED by SUPERVISOR made per year;"ERROR: computing metric {'count': ""activity == 'Declaration FINAL_APPROVED by SUPERVISOR'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of Declaration REJECTED by PRE_APPROVER before Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration REJECTED by PRE_APPROVER';0.9;;B
Number of times Declaration REJECTED by PRE_APPROVER is followed by Declaration SUBMITTED by EMPLOYEE;Number of 'Declaration SUBMITTED by EMPLOYEE' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;163;;B
Average number of Declaration FINAL_APPROVED by SUPERVISOR that are followed by Request Payment;the average of the number of times `ACTIVITY` == 'Declaration FINAL_APPROVED by SUPERVISOR' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Request Payment';1.01;;B
Total Declaration FINAL_APPROVED by SUPERVISOR done by SUPERVISOR;Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities == 'SUPERVISOR' where ma is the last value of org:role;0;;B
Ratio of Declaration FINAL_APPROVED by SUPERVISOR over Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION';0.99;;B
Occasions how often Declaration FINAL_APPROVED by SUPERVISOR is performed after Declaration APPROVED by ADMINISTRATION;Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;7924;;B
Percentage of Declaration FINAL_APPROVED by SUPERVISOR with an increment in case:Amount compared to previous step;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases;1.0;;B
Percentage of Declaration FINAL_APPROVED by SUPERVISOR with appeal;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Appeal';;;D
Percentage of Declaration FINAL_APPROVED by SUPERVISOR from all activities in the event log;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases where '' does not happen;0.96;;B
Number of Declaration FINAL_APPROVED by SUPERVISOR in relation to Declaration APPROVED by PRE_APPROVER;Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities for cases where activity 'Declaration APPROVED by PRE_APPROVER' occurs;676;;B
Percentage of Declaration FINAL_APPROVED by SUPERVISOR done after Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION';0.99;;B
Average number of Declaration FINAL_APPROVED by SUPERVISOR in a month;"ERROR: computing metric {'count': ""activity == 'Declaration FINAL_APPROVED by SUPERVISOR'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
