Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Number of 'Declaration APPROVED by ADMINISTRATION';Number of 'Declaration APPROVED by ADMINISTRATION' activities;8202;;A
Number of 'Declaration APPROVED by ADMINISTRATION' with amounts above 100 euros;Number of 'Declaration APPROVED by ADMINISTRATION' activities > 100 where ma is the last value of case:Amount;1907;;B
Number of 'Declaration APPROVED by ADMINISTRATION' grouped by 'case:BudgetNumber';Number of 'Declaration APPROVED by ADMINISTRATION' activities grouped by the last value of case:BudgetNumber;budget 86566:8202;"{""budget 86566"":8202}";A
Number of 'Declaration APPROVED by ADMINISTRATION' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by ADMINISTRATION'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Total 'Declaration APPROVED by ADMINISTRATION' done by 'org:resource';Number of 'Declaration APPROVED by ADMINISTRATION' activities != '' where ma is the last value of org:resource;8202;;B
Average number of 'Declaration APPROVED by ADMINISTRATION' per month;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by ADMINISTRATION'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Percentage of 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.76;;A
Number of times 'Declaration APPROVED by ADMINISTRATION' is performed;Number of 'Declaration APPROVED by ADMINISTRATION' activities;8202;;A
Percentage of 'Declaration APPROVED by ADMINISTRATION' by 'org:resource';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;STAFF MEMBER:0.14;"{""STAFF MEMBER"":0.1356673961,""SYSTEM"":0.7887085532}";B
Percentage of 'Declaration APPROVED by ADMINISTRATION' by 'org:resource';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;SYSTEM:0.79;"{""STAFF MEMBER"":0.1356673961,""SYSTEM"":0.7887085532}";B
Percentage of 'Declaration APPROVED by ADMINISTRATION' by worker;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;STAFF MEMBER:0.14;"{""STAFF MEMBER"":0.1356673961,""SYSTEM"":0.7887085532}";B
Percentage of 'Declaration APPROVED by ADMINISTRATION' by worker;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;SYSTEM:0.79;"{""STAFF MEMBER"":0.1356673961,""SYSTEM"":0.7887085532}";B
Total 'Declaration APPROVED by ADMINISTRATION' performed by 'org:resource';Number of 'Declaration APPROVED by ADMINISTRATION' activities grouped by the last value of org:resource;STAFF MEMBER:64;"{""STAFF MEMBER"":64,""SYSTEM"":8138}";A
Total 'Declaration APPROVED by ADMINISTRATION' performed by 'org:resource';Number of 'Declaration APPROVED by ADMINISTRATION' activities grouped by the last value of org:resource;SYSTEM:8138;"{""STAFF MEMBER"":64,""SYSTEM"":8138}";A
