Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average time from 'Accepted + Wait - Implementation' to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',""2 days, 3:44:12.571429"","
"Average resolution time of 'Accepted + Wait - Implementation' cases,The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""13 days, 23:55:55.662531"","
"Total time for 'Accepted + Wait - Implementation' across all cases,The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""7158 days, 16:21:41"","
Minimum time to complete 'Accepted + Wait - Implementation' after 'Accepted + In Progress',The minimum of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Implementation',0:00:12,
"Average time it takes 'Accepted + Wait - Implementation' to be done after 'Queued + Awaiting Assignment',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait - Implementation',""13 days, 15:05:08.357558"","
"Total resolution time of cases involving 'Accepted + Wait - Implementation' before reaching 'Completed + Resolved',The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""5640 days, 20:38:52"","
Minimum time between 'Accepted + Wait - Implementation' and 'Completed + Closed',The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',3:55:45,
"Total time from 'Accepted + Wait - Implementation' to 'Completed + In Call' across all variants,The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',""15 days, 2:09:28"","
"Average time since 'Accepted + Wait - Implementation' until 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""13 days, 23:55:55.662531"","
Minimum resolution time of 'Accepted + Wait - Implementation' in comparison to 'Accepted + Wait - User',The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - User',0:00:32,
"Total time it takes 'Accepted + Wait - Implementation' to be done before 'Accepted + Assigned',The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Assigned',""1015 days, 4:24:26"","
"Average time from 'Accepted + Wait - Implementation' to 'Completed + Resolved' considering only cases that pass through 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""14 days, 16:58:06.611732"","
"Total time for 'Accepted + Wait - Implementation' to transition to 'Accepted + In Progress' in the most frequent variant paths,The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + In Progress',""3709 days, 2:14:56"","
