Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average duration of 'Accepted + Wait - User' before transitioning to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',""8 days, 3:34:57.158730"","
"Longest duration of 'Accepted + Wait - User' before transitioning to any other activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - User' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""477 days, 9:44:30"","
Shortest duration of 'Accepted + Wait - User' before transitioning to any other activity,The minimum of the duration between activity Accepted + Wait - User and the end of the case,0:00:00,
"Average duration from 'Accepted + Wait - User' to 'Accepted + In Progress' compared to 'Accepted + Wait - User' to 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + Wait - User' and activity 'Accepted + In Progress',""13 days, 15:56:10.623377"","
"Total duration of all 'Accepted + Wait - User' activities within the event log,The sum of the duration between activity Accepted + Wait - User and the end of the case,""43386 days, 0:31:20"","
"Difference in average duration of 'Accepted + Wait - User' between the most frequent and least frequent product,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': '', 'aggregation': 'difference', 'group_by': 'product'}"",,"
"Duration from the first occurrence of 'Accepted + Wait - User' to the last occurrence in the event log,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - User'"""", 'end': """"activity == 'Accepted + Wait - User'"""", 'aggregation': 'span'}"",,"
"Average duration of 'Accepted + Wait - User' before reaching 'Completed + In Call', considering only cases that follow the variant with the highest performance,The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',""8 days, 3:34:57.158730"","
"Total duration of 'Accepted + Wait - User' for cases that eventually reach 'Completed + In Call',The sum of the duration between activity Accepted + Wait - User and the end of the case,""43386 days, 0:31:20"","
Minimum duration of 'Accepted + Wait - User' in cases where 'Completed + In Call' is the next activity,The minimum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',0:01:39,
"Maximum duration of 'Accepted + Wait - User' in cases that do not transition directly to 'Completed + In Call',the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - User' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""477 days, 9:44:30"","
"Average duration of 'Accepted + Wait - User' in cases with 'High' impact compared to 'Medium' and 'Low' impact,The average of the duration between activity Accepted + Wait - User and the end of the case,""18 days, 10:42:27.951807"","
"Duration of 'Accepted + Wait - User' in the variant with the longest total case duration,The sum of the duration between activity Accepted + Wait - User and the end of the case,""43386 days, 0:31:20"","
"Duration of 'Accepted + Wait - User' in the variant with the shortest total case duration,The sum of the duration between activity Accepted + Wait - User and the end of the case,""43386 days, 0:31:20"","
"Duration of 'Accepted + Wait - User' in cases leading to 'Completed + Resolved' without passing through 'Completed + In Call',The sum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',""32278 days, 3:31:05"","
"Average duration of 'Accepted + Wait - User' in cases that were resolved within the same day vs. cases that took longer,The average of the duration between activity Accepted + Wait - User and the end of the case,""17 days, 9:20:25.763527"","
