Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of 'Request Payment' out of all 'Payment Handled';Percentage of 'Request Payment' out of all 'Payment Handled';1.0;;A
Number of 'Request Payment' that are preceded by 'Declaration FINAL_APPROVED by SUPERVISOR';Number of 'Request Payment' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;10038;;B
Percentage of 'Request Payment' followed by 'Payment Handled';Percentage of 'Request Payment' out of all 'Payment Handled';1.0;;B
Number of 'Request Payment' made per year;"ERROR: computing metric {'count': ""activity == 'Request Payment'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Request Payment' with amounts above 100 euros;Percentage of 'Request Payment' out of all cases;1.0;;B
Frequency of 'Request Payment' in the most common variant;Percentage of 'Request Payment' out of all cases;0.96;;B
Percentage of 'Request Payment' in cases where 'Declaration REJECTED by PRE_APPROVER' occurs;Percentage of 'Request Payment' out of all 'Declaration REJECTED by PRE_APPROVER';0.89;;B
Number of 'Request Payment' grouped by 'org:role';Number of 'Request Payment' activities grouped by the last value of org:role;ADMINISTRATION:0;"{""ADMINISTRATION"":0,""EMPLOYEE"":1,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":10036}";A
Number of 'Request Payment' grouped by 'org:role';Number of 'Request Payment' activities grouped by the last value of org:role;EMPLOYEE:1;"{""ADMINISTRATION"":0,""EMPLOYEE"":1,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":10036}";A
Number of 'Request Payment' grouped by 'org:role';Number of 'Request Payment' activities grouped by the last value of org:role;MISSING:3;"{""ADMINISTRATION"":0,""EMPLOYEE"":1,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":10036}";A
Number of 'Request Payment' grouped by 'org:role';Number of 'Request Payment' activities grouped by the last value of org:role;SUPERVISOR:0;"{""ADMINISTRATION"":0,""EMPLOYEE"":1,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":10036}";A
Number of 'Request Payment' grouped by 'org:role';Number of 'Request Payment' activities grouped by the last value of org:role;UNDEFINED:10036;"{""ADMINISTRATION"":0,""EMPLOYEE"":1,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":10036}";A
Percentage of 'Request Payment' by 'STAFF MEMBER';Percentage of 'Request Payment' out of all cases;;;D
Average number of 'Request Payment' in a month;"ERROR: computing metric {'count': ""activity == 'Request Payment'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Frequency of 'Request Payment' in relation to 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Request Payment' out of all 'Declaration SUBMITTED by EMPLOYEE';0.97;;B
Percentage of 'Request Payment' that lead to 'Payment Handled' within 30 days;Percentage of 'Request Payment' out of all 'Payment Handled';1.0;;B
Number of 'Request Payment' that occur after 'Declaration APPROVED by ADMINISTRATION';Number of 'Request Payment' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;7914;;B
Percentage of 'Request Payment' in cases with 'case:Amount' above the average;"ERROR: computing metric {'count': ""activity == 'Request Payment'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > average'}";;;C
Frequency of 'Request Payment' in cases without 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Request Payment' out of all cases where 'Declaration REJECTED by PRE_APPROVER' does not happen;0.96;;B
Percentage of 'Request Payment' in the variant with the highest performance;Percentage of 'Request Payment' out of all cases;0.96;;B
Number of 'Request Payment' in relation to 'Declaration APPROVED by BUDGET OWNER';Number of 'Request Payment' activities for cases where activity 'Declaration APPROVED by BUDGET OWNER' occurs;2796;;B
Percentage of 'Request Payment' in cases that involve director approval;Percentage of 'Request Payment' out of all 'director approval';;;A
Frequency of 'Request Payment' in cases that are filed within two months after the trip;Percentage of 'Request Payment' out of all cases;0.96;;B
