Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';8 days 07:56:15.401891;;A
Average time between Declaration REJECTED by ADMINISTRATION and Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';3 days 13:50:56.539834;;A
Total time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION across all cases;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';7047 days 19:13:10;;A
Total resolution time of Declaration REJECTED by ADMINISTRATION;The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;11718 days 12:26:59;;B
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';0 days 00:00:01;;A
Average time it takes Declaration REJECTED by ADMINISTRATION after Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by ADMINISTRATION';44 days 16:10:32.384615;;A
Total time it takes Declaration REJECTED by ADMINISTRATION to be followed by Declaration REJECTED by EMPLOYEE;The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';3008 days 07:02:30;;A
Minimum time between Declaration REJECTED by ADMINISTRATION and next Declaration SUBMITTED by EMPLOYEE;The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration SUBMITTED by EMPLOYEE';0 days 00:06:26;;A
Average time from Declaration REJECTED by ADMINISTRATION to Declaration APPROVED by ADMINISTRATION in cases where the declaration is resubmitted;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION';7 days 22:11:43.218944;;B
Total time for all instances of Declaration REJECTED by ADMINISTRATION to be resolved or followed by another activity;The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;11718 days 12:26:59;;B
Average time between Declaration REJECTED by ADMINISTRATION and Declaration FINAL_APPROVED by SUPERVISOR in cases where the declaration is eventually approved;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';10 days 12:52:47.882075;;A
Minimum time it takes for a case to be resubmitted after Declaration REJECTED by ADMINISTRATION;The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration SUBMITTED by EMPLOYEE';0 days 00:06:26;;A
Average time from Declaration REJECTED by ADMINISTRATION to Request Payment in cases where payment is still requested;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Request Payment';13 days 13:25:37.794025;;A
Total time from Declaration REJECTED by ADMINISTRATION to Payment Handled for cases that are eventually paid;The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Payment Handled';10860 days 09:50:12;;A
Average time for Declaration REJECTED by ADMINISTRATION to be followed by Declaration APPROVED by BUDGET OWNER in cases where budget owner's approval is required;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER';10 days 02:04:48.521368;;A
