Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SAVED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';;;D
Total time for all 'Declaration SAVED by EMPLOYEE' activities within a case;The sum of the duration between activity Declaration SAVED by EMPLOYEE and the end of the case;20 days 02:06:53;;B
Average time between 'Declaration SAVED by EMPLOYEE' and 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Total resolution time of 'Declaration SAVED by EMPLOYEE' for cases that were eventually approved;"ERROR: computing metric {'begin': ""activity == 'Declaration SAVED by EMPLOYEE'"", 'end': '', 'aggregation': 'total', 'filter': ""activity == 'Declaration APPROVED by ADMINISTRATION' or activity == 'Declaration FINAL_APPROVED by SUPERVISOR' or activity == 'Declaration APPROVED by BUDGET OWNER'""}";;;D
Minimum time from 'Declaration SAVED by EMPLOYEE' to 'Declaration APPROVED by ADMINISTRATION';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';;;D
Average time it takes from 'Declaration SAVED by EMPLOYEE' to 'Request Payment';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Request Payment';17 days 00:48:01;;A
Total time it takes 'Declaration SAVED by EMPLOYEE' to be followed by 'Payment Handled';The sum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Payment Handled';20 days 02:06:53;;A
Minimum time it takes from 'Declaration SAVED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;;D
Average time from 'Declaration SAVED by EMPLOYEE' to the next activity in the process;The average of the duration between activity Declaration SAVED by EMPLOYEE and the end of the case;0 days 03:34:16.392593;;B
Total time from 'Declaration SAVED by EMPLOYEE' to 'Declaration REJECTED by PRE_APPROVER' across all cases;The sum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Average time for 'Declaration SAVED by EMPLOYEE' to be followed by any rejection activity;"ERROR: computing metric {'begin': ""activity == 'Declaration SAVED by EMPLOYEE'"", 'end': '', 'aggregation': 'average', 'filter': ""activity == 'Declaration REJECTED by EMPLOYEE' or activity == 'Declaration REJECTED by ADMINISTRATION' or activity == 'Declaration REJECTED by SUPERVISOR' or activity == 'Declaration REJECTED by MISSING' or activity == 'Declaration REJECTED by PRE_APPROVER' or activity == 'Declaration REJECTED by BUDGET OWNER'""}";;;C
Minimum resolution time of 'Declaration SAVED by EMPLOYEE' in cases where the declaration is eventually rejected;"ERROR: computing metric {'begin': ""activity == 'Declaration SAVED by EMPLOYEE'"", 'end': '', 'aggregation': 'minimum', 'filter': ""activity == 'Declaration REJECTED by EMPLOYEE' or activity == 'Declaration REJECTED by ADMINISTRATION' or activity == 'Declaration REJECTED by SUPERVISOR' or activity == 'Declaration REJECTED by MISSING' or activity == 'Declaration REJECTED by PRE_APPROVER' or activity == 'Declaration REJECTED by BUDGET OWNER'""}";;;C
Average time from 'Declaration SAVED by EMPLOYEE' to 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration APPROVED by BUDGET OWNER';;;D
Total time for 'Declaration SAVED by EMPLOYEE' activities in cases exceeding the average processing time;The sum of the duration between activity Declaration SAVED by EMPLOYEE and the end of the case;20 days 02:06:53;;D
Minimum time from 'Declaration SAVED by EMPLOYEE' to 'Declaration REJECTED by ADMINISTRATION';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';;;D
