Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';4 days 15:31:58.871886;;A
Average time between Declaration REJECTED by SUPERVISOR and Request Payment;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Request Payment';12 days 20:04:18.343137;;A
Average resolution time for cases involving Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and the end of case where activity 'case closure occurs;;;D
Total time spent in activities before Declaration REJECTED by SUPERVISOR across all cases;The sum of the duration between the start of the case and activity 'Declaration REJECTED by SUPERVISOR';1305 days 20:46:43;;A
Total time spent in activities after Declaration REJECTED by SUPERVISOR until case closure;The sum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and the end of case where activity 'case closure occurs;;;D
Minimum time from Declaration APPROVED by ADMINISTRATION to Declaration REJECTED by SUPERVISOR;The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by SUPERVISOR';0 days 00:02:51;;A
Average time from Declaration REJECTED by SUPERVISOR to Declaration SUBMITTED by EMPLOYEE in cases of re-submission;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration SUBMITTED by EMPLOYEE';8 days 16:53:40.004587;;A
Total resolution time of cases with Declaration REJECTED by SUPERVISOR leading to case closure without Payment Handled;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and the end of case where activity 'Payment Handled does not occur;4186 days 08:24:43;;B
Average time from Declaration REJECTED by SUPERVISOR to Declaration APPROVED by PRE_APPROVER in subsequent process steps;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration APPROVED by PRE_APPROVER';7 days 07:02:18.600000;;B
Total time from Declaration REJECTED by SUPERVISOR to the next Declaration APPROVED by ADMINISTRATION;The sum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration APPROVED by ADMINISTRATION';1372 days 22:32:03;;A
Average time for cases to be resolved after Declaration REJECTED by SUPERVISOR; comparing those that are eventually approved versus those that are not;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and the end of case where activity 'case closure occurs;;D
Minimum time from Declaration REJECTED by SUPERVISOR to any subsequent Declaration REJECTED by PRE_APPROVER; focusing on process improvement to reduce rejections;The minimum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration REJECTED by PRE_APPROVER';;D
Average time it takes for a Declaration REJECTED by SUPERVISOR to be followed by a Declaration FINAL_APPROVED by SUPERVISOR in revised submissions;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';10 days 06:19:45.681373;;B
Total time for all activities to occur between Declaration REJECTED by SUPERVISOR and Declaration FINAL_APPROVED by SUPERVISOR in cases of successful resubmission;The sum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';2093 days 19:11:19;;B
