Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by BUDGET OWNER';4 days 12:07:21.001069;;A
Average time from 'Declaration APPROVED by BUDGET OWNER' to 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';3 days 00:14:23.186919;;A
Average time from 'Declaration APPROVED by BUDGET OWNER' to 'Request Payment';The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Request Payment';6 days 03:39:22.355866;;A
Total time for 'Declaration APPROVED by BUDGET OWNER' in cases where 'Declaration REJECTED by PRE_APPROVER' occurs;The sum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER occurs;;;D
Average time for 'Declaration APPROVED by BUDGET OWNER' across all cases;The average of the duration between activity Declaration APPROVED by BUDGET OWNER and the end of the case;9 days 16:59:53.579266;;B
Minimum time for 'Declaration APPROVED by BUDGET OWNER' across all cases;The minimum of the duration between activity Declaration APPROVED by BUDGET OWNER and the end of the case;0 days 21:07:26;;B
Total resolution time of 'Declaration APPROVED by BUDGET OWNER' in the process;The sum of the duration between activity Declaration APPROVED by BUDGET OWNER and the end of the case;27251 days 01:59:37;;B
Average waiting time to 'Declaration APPROVED by BUDGET OWNER' after 'Declaration APPROVED by ADMINISTRATION';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER';2 days 04:45:27.467047;;B
Total time from 'Declaration APPROVED by ADMINISTRATION' to 'Declaration APPROVED by BUDGET OWNER';The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER';6170 days 10:40:00;;A
Minimum time from 'Declaration APPROVED by ADMINISTRATION' to 'Declaration APPROVED by BUDGET OWNER';The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER';0 days 00:00:18;;A
Average time it takes from 'Declaration APPROVED by BUDGET OWNER' to 'Payment Handled';The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Payment Handled';9 days 15:37:28.491065;;A
Total time it takes from 'Declaration APPROVED by BUDGET OWNER' to 'Payment Handled' in all cases;The sum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Payment Handled';27003 days 13:34:38;;A
Minimum time it takes from 'Declaration APPROVED by BUDGET OWNER' to 'Payment Handled' in cases where payment is requested immediately after approval;The minimum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Payment Handled';1 days 01:16:27;;B
Average time between 'Declaration APPROVED by BUDGET OWNER' and 'Declaration FINAL_APPROVED by SUPERVISOR' in cases leading to a payment request;The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';3 days 00:15:04.257868;;B
Total time for 'Declaration APPROVED by BUDGET OWNER' in cases that were initially rejected by any role before approval;The sum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and the end of case where activity 'Declaration REJECTED by EMPLOYEE occurs;3590 days 23:12:16;;B
