Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';4 days 19:56:10.538034;;A
Average time from Declaration APPROVED by ADMINISTRATION to Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';3 days 04:12:26.541851;;A
Average time from Declaration APPROVED by BUDGET OWNER to Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';3 days 00:14:23.186919;;A
Average time from Declaration REJECTED by PRE_APPROVER to resubmission and Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';11 days 12:46:12.150685;;B
Total time spent in process from Declaration SUBMITTED by EMPLOYEE to Declaration FINAL_APPROVED by SUPERVISOR across all cases;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';48644 days 22:08:38;;A
Average time between Declaration FINAL_APPROVED by SUPERVISOR and Request Payment;The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';3 days 07:02:46.683005;;A
Total time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled;The sum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled';69495 days 01:19:36;;A
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration FINAL_APPROVED by SUPERVISOR;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';0 days 00:00:01;;A
Maximum time from Declaration SUBMITTED by EMPLOYEE to Declaration FINAL_APPROVED by SUPERVISOR;The maximum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';362 days 21:02:35;;A
Average time for a declaration to reach Declaration FINAL_APPROVED by SUPERVISOR after any rejection;ERROR: ;;;C
Total resolution time of cases from Declaration SUBMITTED by EMPLOYEE to Declaration FINAL_APPROVED by SUPERVISOR;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';48644 days 22:08:38;;B
Average time between Declaration FINAL_APPROVED by SUPERVISOR and the next activity in the process;The average of the duration between activity Declaration FINAL_APPROVED by SUPERVISOR and the end of the case;6 days 22:14:06.060377;;B
Minimum time between Declaration FINAL_APPROVED by SUPERVISOR and Request Payment;The minimum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';0 days 00:00:00;;A
Maximum time between Declaration FINAL_APPROVED by SUPERVISOR and Request Payment;The maximum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';308 days 02:21:57;;A
Average time for Declaration FINAL_APPROVED by SUPERVISOR in cases involving director approval vs. those that do not;The average of the duration between activity Declaration FINAL_APPROVED by SUPERVISOR and the end of the case;;;B
Total time for all activities to be completed after Declaration FINAL_APPROVED by SUPERVISOR;The sum of the duration between activity Declaration FINAL_APPROVED by SUPERVISOR and the end of the case;69749 days 10:37:08;;B
Average time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled in cases with prior Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled';10 days 06:34:37.986111;;B
Minimum time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled in cases without any rejections;ERROR: ;;;C
Average time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled in cases with prior Declaration REJECTED by PRE_APPROVER  grouped by department (2017 vs. 2018 data);ERROR:;;;C
Total time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled for all cases exceeding two months from trip date;ERROR: ;;;C
