Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';8 days 19:18:16.757426;;A
Average time between 'Declaration REJECTED by EMPLOYEE' and 'Declaration SUBMITTED by EMPLOYEE' for cases that are resubmitted;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';6 days 06:36:13.441207;;B
Total time spent in 'Declaration REJECTED by EMPLOYEE' status across all cases;The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814 days 07:41:12;;A
Average resolution time for cases following 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;12 days 05:21:10.356436;;B
Time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration APPROVED by ADMINISTRATION' for cases that are resubmitted;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';5053 days 22:39:00;;B
Time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR' for cases that are resubmitted;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';7727 days 06:55:45;;B
Average time it takes for a declaration to be resubmitted after being 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';6 days 06:36:13.441207;;A
Total resolution time of cases that involve 'Declaration REJECTED by EMPLOYEE';The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814 days 07:41:12;;B
Minimum time between 'Declaration REJECTED by EMPLOYEE' and next activity in the process;The minimum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;0 days 00:00:00;;B
Average time to reach 'Declaration REJECTED by EMPLOYEE' from the start of the case;The average of the duration between the start of the case and activity 'Declaration REJECTED by EMPLOYEE';8 days 19:18:16.757426;;A
Total time spent in 'Declaration REJECTED by EMPLOYEE' for cases that are eventually approved;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';5053 days 22:39:00;;A
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Request Payment' for cases that continue in the process;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Request Payment';11 days 11:08:46.436285;;B
Time from 'Declaration REJECTED by EMPLOYEE' to 'Payment Handled' for cases that are successfully resolved;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Payment Handled';13903 days 03:12:26;;A
Average time for a case to be finalized after 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;12 days 05:21:10.356436;;A
Total time for all activities to be completed after 'Declaration REJECTED by EMPLOYEE';The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814 days 07:41:12;;A
Average waiting time to the 'Declaration SUBMITTED by EMPLOYEE' after 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';6 days 06:36:13.441207;;B
Minimum resolution time of cases with 'Declaration REJECTED by EMPLOYEE' before being approved or finalized;The minimum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;0 days 00:00:00;;B
