Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2 days 21:31:24.666667;;A
Average time from Declaration REJECTED by PRE_APPROVER to Declaration SUBMITTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';10 days 05:53:58.342466;;A
Total time spent in the process from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by PRE_APPROVER and back to Declaration SUBMITTED by EMPLOYEE;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';923 days 09:20:09;;B
Average time between Declaration REJECTED by PRE_APPROVER and Declaration APPROVED by PRE_APPROVER for cases that are resubmitted and approved;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by PRE_APPROVER';4 days 12:15:19.582090;;B
Minimum time from Declaration REJECTED by PRE_APPROVER to Declaration FINAL_APPROVED by SUPERVISOR;The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';0 days 01:13:45;;A
Average resolution time of Declaration REJECTED by PRE_APPROVER cases;The average of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;19 days 10:01:15.222222;;B
Total resolution time of all Declaration REJECTED by PRE_APPROVER cases;The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;1572 days 19:41:33;;B
Average time from Declaration REJECTED by PRE_APPROVER to Request Payment for cases that are eventually approved;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';17 days 08:00:59.625000;;B
Minimum time from Declaration REJECTED by PRE_APPROVER to Declaration SUBMITTED by EMPLOYEE for resubmission;The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';0 days 00:06:14;;B
Average waiting time to Declaration SUBMITTED by EMPLOYEE after Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';10 days 05:53:58.342466;;B
Total time from Declaration REJECTED by PRE_APPROVER to Declaration APPROVED by ADMINISTRATION for cases that are resubmitted and approved;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION';433 days 19:17:55;;B
Average time it takes from Declaration REJECTED by PRE_APPROVER to Payment Handled for cases that are eventually approved;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Payment Handled';21 days 04:18:30.291667;;B
Minimum time it takes for a case to be finalized after Declaration REJECTED by PRE_APPROVER;The minimum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;0 days 00:03:59;;B
Average time from Declaration REJECTED by PRE_APPROVER to Declaration APPROVED by BUDGET OWNER for cases that are resubmitted and approved;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by BUDGET OWNER';;;D
Total time for all activities to be completed after Declaration REJECTED by PRE_APPROVER before a case is resubmitted;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';747 days 22:39:59;;A
