Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration FINAL_APPROVED by SUPERVISOR' to 'Request Payment';The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';3 days, 7:02:46.683005;;A
Total time from 'Declaration SUBMITTED by EMPLOYEE' to 'Request Payment';The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Request Payment';80286 days, 20:10:44;;A
Minimum time from 'Declaration APPROVED by ADMINISTRATION' to 'Request Payment';The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Request Payment';00:01:24;;A
Average time between 'Request Payment' and 'Payment Handled';The average of the duration between activity 'Request Payment' and activity 'Payment Handled';3 days, 13:47:24.830228;;A
Total resolution time of 'Request Payment';The sum of the duration between activity Request Payment and the end of the case;35936 days, 18:33:16;;B
Minimum resolution time of 'Request Payment';The minimum of the duration between activity Request Payment and the end of the case;02:19:06;;B
Average waiting time to the 'Request Payment' after 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Request Payment';6 days, 3:39:22.355866;;B
Total time it takes 'Request Payment' to be done after 'Declaration FINAL_APPROVED by SUPERVISOR';The sum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';33061 days, 2:46:04;;A
Average time for 'Request Payment' in cases where 'Declaration REJECTED by PRE_APPROVER' occurred;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';17 days, 8:00:59.625000;;B
Minimum time for 'Request Payment' in cases following 'Declaration APPROVED by PRE_APPROVER';The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Request Payment';01:00:05;;B
Total time for 'Request Payment' in variants where 'Declaration REJECTED by ADMINISTRATION' precedes approval steps;The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Request Payment';8623 days, 19:40:37;;B
Average time until 'Request Payment' is performed after 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Request Payment';7 days, 23:56:23.468871;;A
Total time since 'Declaration APPROVED by ADMINISTRATION' and 'Request Payment' are performed in the same case;The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Request Payment';47647 days, 7:48:09;;A
Minimum time it takes 'Request Payment' after 'Declaration APPROVED by PRE_APPROVER';The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Request Payment';01:00:05;;A
Average time it takes 'Request Payment' to be done in cases with 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';17 days, 8:00:59.625000;;B
Total time for 'Request Payment' across all variants;The sum of the duration between activity Request Payment and the end of the case;35936 days, 18:33:16;;B
Average time for 'Request Payment' grouped by 'org:role' of the approver before payment request;The average of the duration between activity 'Request Payment' and the end of case grouped by the last value of org:role;ADMINISTRATION:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":427572000,""MISSING"":1640403666,""SUPERVISOR"":null,""UNDEFINED"":308846992}";B
Average time for 'Request Payment' grouped by 'org:role' of the approver before payment request;The average of the duration between activity 'Request Payment' and the end of case grouped by the last value of org:role;EMPLOYEE:4 days 22:46:12;"{""ADMINISTRATION"":null,""EMPLOYEE"":427572000,""MISSING"":1640403666,""SUPERVISOR"":null,""UNDEFINED"":308846992}";B
Average time for 'Request Payment' grouped by 'org:role' of the approver before payment request;The average of the duration between activity 'Request Payment' and the end of case grouped by the last value of org:role;MISSING:18 days 23:40:03.666667;"{""ADMINISTRATION"":null,""EMPLOYEE"":427572000,""MISSING"":1640403666,""SUPERVISOR"":null,""UNDEFINED"":308846992}";B
Average time for 'Request Payment' grouped by 'org:role' of the approver before payment request;The average of the duration between activity 'Request Payment' and the end of case grouped by the last value of org:role;SUPERVISOR:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":427572000,""MISSING"":1640403666,""SUPERVISOR"":null,""UNDEFINED"":308846992}";B
Average time for 'Request Payment' grouped by 'org:role' of the approver before payment request;The average of the duration between activity 'Request Payment' and the end of case grouped by the last value of org:role;UNDEFINED:3 days 13:47:26.992128;"{""ADMINISTRATION"":null,""EMPLOYEE"":427572000,""MISSING"":1640403666,""SUPERVISOR"":null,""UNDEFINED"":308846992}";B
Minimum time between 'Declaration FINAL_APPROVED by SUPERVISOR' and 'Request Payment' across variants with rejections;ERROR: ;;;C
Total time from 'Declaration REJECTED by PRE_APPROVER' to 'Request Payment' in cases where the declaration is resubmitted and approved;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';1248 days, 1:11:33;;B
