Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of Declaration APPROVED by PRE_APPROVER before Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.07;;B
Number of Declaration APPROVED by PRE_APPROVER;Number of 'Declaration APPROVED by PRE_APPROVER' activities;685;;A
Percentage of Declaration APPROVED by PRE_APPROVER out of all Declaration SUBMITTED by EMPLOYEE;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.06;;A
Number of Declaration APPROVED by PRE_APPROVER that are preceded by Declaration SUBMITTED by EMPLOYEE;Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;685;;B
Percentage of Declaration APPROVED by PRE_APPROVER that lead to a Request Payment;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Request Payment';0.07;;B
Percentage of Declaration APPROVED by PRE_APPROVER from all Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.07;;A
Number of Declaration APPROVED by PRE_APPROVER with amounts above 100 euros;Number of 'Declaration APPROVED by PRE_APPROVER' activities > 100 where ma is the last value of case:Amount;139;;B
Percentage of Declaration APPROVED by PRE_APPROVER by STAFF MEMBER;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;STAFF MEMBER:0.01;"{""STAFF MEMBER"":0.0131291028,""SYSTEM"":0.0657174151}";B
Percentage of Declaration APPROVED by PRE_APPROVER by STAFF MEMBER;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;SYSTEM:0.07;"{""STAFF MEMBER"":0.0131291028,""SYSTEM"":0.0657174151}";B
Number of Declaration APPROVED by PRE_APPROVER grouped by org:role;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:role;ADMINISTRATION:0;"{""ADMINISTRATION"":0,""EMPLOYEE"":3,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":679}";A
Number of Declaration APPROVED by PRE_APPROVER grouped by org:role;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:role;EMPLOYEE:3;"{""ADMINISTRATION"":0,""EMPLOYEE"":3,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":679}";A
Number of Declaration APPROVED by PRE_APPROVER grouped by org:role;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:role;MISSING:3;"{""ADMINISTRATION"":0,""EMPLOYEE"":3,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":679}";A
Number of Declaration APPROVED by PRE_APPROVER grouped by org:role;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:role;SUPERVISOR:0;"{""ADMINISTRATION"":0,""EMPLOYEE"":3,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":679}";A
Number of Declaration APPROVED by PRE_APPROVER grouped by org:role;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:role;UNDEFINED:679;"{""ADMINISTRATION"":0,""EMPLOYEE"":3,""MISSING"":3,""SUPERVISOR"":0,""UNDEFINED"":679}";A
Percentage of Declaration APPROVED by PRE_APPROVER by worker;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;STAFF MEMBER:0.01;"{""STAFF MEMBER"":0.0131291028,""SYSTEM"":0.0657174151}";B
Percentage of Declaration APPROVED by PRE_APPROVER by worker;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;SYSTEM:0.07;"{""STAFF MEMBER"":0.0131291028,""SYSTEM"":0.0657174151}";B
Percentage of Declaration APPROVED by PRE_APPROVER followed by Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.07;;B
Number of Declaration APPROVED by PRE_APPROVER made per year;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of Declaration REJECTED by PRE_APPROVER that are rejected;Percentage of 'Declaration REJECTED by PRE_APPROVER' out of all cases;0.01;;B
Number of Declaration APPROVED by PRE_APPROVER in relation to Declaration SUBMITTED by EMPLOYEE;Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;685;;B
Percentage of Declaration APPROVED by PRE_APPROVER;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;0.06;;A
Number of times Declaration APPROVED by PRE_APPROVER is performed;Number of 'Declaration APPROVED by PRE_APPROVER' activities;685;;A
Percentage of Declaration APPROVED by PRE_APPROVER done after Declaration SUBMITTED by EMPLOYEE;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.06;;B
Average number of Declaration APPROVED by PRE_APPROVER;the average of the number of times `ACTIVITY` == 'Declaration APPROVED by PRE_APPROVER';0.07;;A
Percentage of Declaration APPROVED by PRE_APPROVER with an increment in case:Amount;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;0.07;;B
Percentage of Declaration APPROVED by PRE_APPROVER with appeal;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Appeal';;;D
Average number of Declaration APPROVED by PRE_APPROVER that are followed by Declaration FINAL_APPROVED by SUPERVISOR;the average of the number of times `ACTIVITY` == 'Declaration APPROVED by PRE_APPROVER' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration FINAL_APPROVED by SUPERVISOR';0.07;;B
Percentage of Declaration APPROVED by PRE_APPROVER with penalty;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Penalty';;;D
Average number of Declaration APPROVED by PRE_APPROVER in a month;"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Total Declaration APPROVED by PRE_APPROVER done by STAFF MEMBER;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:resource;STAFF MEMBER:6;"{""STAFF MEMBER"":6,""SYSTEM"":679}";B
Total Declaration APPROVED by PRE_APPROVER done by STAFF MEMBER;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:resource;SYSTEM:679;"{""STAFF MEMBER"":6,""SYSTEM"":679}";B
Fraction of Declaration APPROVED by PRE_APPROVER that are dismissed;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Dismissed';;;D
Total Declaration APPROVED by PRE_APPROVER performed by STAFF MEMBER;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:resource;STAFF MEMBER:6;"{""STAFF MEMBER"":6,""SYSTEM"":679}";B
Total Declaration APPROVED by PRE_APPROVER performed by STAFF MEMBER;Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of org:resource;SYSTEM:679;"{""STAFF MEMBER"":6,""SYSTEM"":679}";B
Ratio of Declaration APPROVED by PRE_APPROVER over Declaration REJECTED by PRE_APPROVER;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER';0.83;;B
Occasions how often the Declaration APPROVED by PRE_APPROVER is performed;Number of 'Declaration APPROVED by PRE_APPROVER' activities;685;;A
The ratio of Declaration APPROVED by PRE_APPROVER that lead to Request Payment;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Request Payment';0.07;;B
