Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',""13 days, 8:15:45.025641"","
"Total time from 'Reviewer Invitation Reminder 1' to 'SW-AE Assign Reviewers',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',""492 days, 13:45:28"","
Minimum time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Declined',The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined',0:03:51,
"Average time between 'Reviewer Invitation Reminder 1' and 'Reviewer Invitation Reminder 2',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'Reviewer Invitation Reminder 2',""35 days, 9:51:39.390244"","
"Total time for 'Reviewer Invitation Reminder 1' to lead to a 'SW-Reviewer Agreed' decision,The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',""520 days, 10:14:16"","
"Minimum resolution time of 'Reviewer Invitation Reminder 1' before any subsequent activity,The minimum of the duration between activity Reviewer Invitation Reminder 1 and the end of the case,""34 days, 23:08:26"","
"Average waiting time to the next 'Reviewer Invitation Reminder 1' after 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'Reviewer Invitation Reminder 1',""65 days, 7:55:43.285714"","
"Total time it takes 'Reviewer Invitation Reminder 1' after 'SW-Reviewer Selection is now due',The sum of the duration between activity 'SW-Reviewer Selection is now due' and activity 'Reviewer Invitation Reminder 1',""934 days, 1:58:55"","
"Average time it takes from 'Reviewer Invitation Reminder 1' to 'SW-AE Assign Reviewers' execution,The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',""19 days, 16:52:13.120000"","
"Time until 'Reviewer Invitation Reminder 1' after 'SW-Reviewer Selection is 3 days late',The sum of the duration between activity 'SW-Reviewer Selection is 3 days late' and activity 'Reviewer Invitation Reminder 1',""974 days, 13:02:00"","
"Cycle Time of 'Reviewer Invitation Reminder 1' in the context of reviewer agreement process,The sum of the duration between activity Reviewer Invitation Reminder 1 and the end of the case,""7212 days, 16:43:22"","
"Average time for 'Reviewer Invitation Reminder 1' to result in 'SW-Reviewer Agreed' across all cases,The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',""13 days, 8:15:45.025641"","
"Total time for all instances of 'Reviewer Invitation Reminder 1' before 'SW-AE Assign Reviewers',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',""492 days, 13:45:28"","
Minimum time it takes from 'Reviewer Invitation Reminder 1' to any 'SW-EIC Decision',The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-EIC Decision',,
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed' in cases ending with acceptance,The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',,
