Name;Metric;Value;Agrupation
Average time from SW-Reviewer Selection is due in 1 week to SW-Reviewer Agreed;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';25.56 days;
Total time between SW-Reviewer Selection is due in 1 week and SW-AE Assign Reviewers;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-AE Assign Reviewers';759.10 days;
Minimum time it takes SW-Reviewer Agreed after the execution of SW-Reviewer Selection is due in 1 week;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';3.88 days;
Average waiting time to SW-Reviewer Agreed following SW-Reviewer Selection is due in 1 week;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';25.56 days;
Total resolution time of SW-Reviewer Selection is due in 1 week until the next reviewer-related activity (e.g., SW-Reviewer Agreed, SW-Reviewer Declined, or SW-Reviewer No Response);The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';850.82 days;
Elapsed time between SW-Reviewer Selection is due in 1 week and SW-Reviewer Selection is due in 3 days;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is due in 3 days';125.65 days;
Time from SW-Reviewer Selection is due in 1 week to SW-Reviewer Selection is now due;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is now due';110.17 days;
Minimum time between SW-Reviewer Selection is due in 1 week and SW-Reviewer Unavailable;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Unavailable';2.26 days;
Total time from SW-Reviewer Selection is due in 1 week to SW-Awaiting EIC Decision across variants where both activities appear;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Awaiting EIC Decision';2657.81 days;
Time of SW-Reviewer Selection is due in 1 week relative to the preceding activity SW-Initial Reviewer Selection;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week';121.97 days;
Average time between SW-Reviewer Selection is due in 1 week and the subsequent occurrence of Reviewer Invitation Reminder 1;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'Reviewer Invitation Reminder 1';61.66 days;
Total time it takes SW-Reviewer Declined after the execution of SW-Reviewer Selection is due in 1 week;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Declined';362.62 days;
Elapsed time between SW-Reviewer Selection is due in 1 week and SW-Reviewer Selection is 3 days late;The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is 3 days late';120.32 days;
Cycle Time of SW-Reviewer Selection is due in 1 week measured as the interval between its timestamp and the timestamp of the next distinct reviewer assignment or decision activity (e.g., SW-Reviewer Agreed, SW-Reviewer Declined, or SW-Reviewer No Response);The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';850.82 days;
Average time it takes SW-Reviewer Agreed to occur after SW-Reviewer Selection is due in 1 week, grouped by case:concept:name;"ERROR: computing metric {'begin': activity == 'SW-Reviewer Selection is due in 1 week'"", 'end': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'average', 'group_by': 'concept:name'}""";;
