Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average time from SW-AE Assign Reviewers to SW-Awaiting EIC Decision,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting EIC Decision',""74 days, 7:28:14.400000"","
"Total time from Manuscript Export Succeeded to SW-Awaiting EIC Decision,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting EIC Decision',""3857 days, 17:59:36"","
"Minimum time from SW-Reviewer Agreed to SW-Awaiting EIC Decision,The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision',""41 days, 18:49:44"","
"Average time for SW-Awaiting EIC Decision to be made after SW-Awaiting AE Recommendation,The average of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Awaiting EIC Decision',""3 days, 17:53:47.428571"","
"Total resolution time of SW-Awaiting EIC Decision,The sum of the duration between activity SW-Awaiting EIC Decision and the end of the case,""5119 days, 14:31:51"","
"Average waiting time to SW-Awaiting EIC Decision after SW-Reviewer Selection is now due,The average of the duration between activity 'SW-Reviewer Selection is now due' and activity 'SW-Awaiting EIC Decision',""71 days, 6:06:26.900000"","
"Minimum resolution time of SW-Awaiting EIC Decision compared to SW-EIC Reject & Resubmit,""ERROR: computing metric {'begin': """"activity == 'SW-Awaiting EIC Decision'"""", 'end': """"activity == 'SW-EIC Reject & Resubmit'"""", 'aggregation': 'minimum'}"",,"
"Total time for SW-Awaiting EIC Decision across all cases,The sum of the duration between activity SW-Awaiting EIC Decision and the end of the case,""5119 days, 14:31:51"","
"Average time it takes from SW-Checklist Completed to SW-Awaiting EIC Decision,The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting EIC Decision',""63 days, 22:13:46.105263"","
"Average time from SW-Awaiting AE Assignment to SW-Awaiting EIC Decision,The average of the duration between activity 'SW-Awaiting AE Assignment' and activity 'SW-Awaiting EIC Decision',""54 days, 5:30:49.885714"","
"Total time it takes the SW-Awaiting EIC Decision to be done after Reviewer Invitation Reminder 2,The sum of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-Awaiting EIC Decision',""2335 days, 23:07:15"","
"Average time between SW-AE Assign Reviewers and SW-Awaiting EIC Decision in the most frequent process variant,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting EIC Decision',""74 days, 7:28:14.400000"","
"Total time from Original Manuscript Submission Confirmation to SW-Awaiting EIC Decision in the longest process variant,The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting EIC Decision',""3943 days, 14:41:47"","
