Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average time from 'SW-Awaiting Checklist Completion' to 'SW-Checklist Completed',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed',""4 days, 9:34:26.341463"","
"Average time from 'SW-Awaiting Checklist Completion' to 'SW-Reviewer Agreed',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Reviewer Agreed',""28 days, 18:01:20.318182"","
"Total time for all instances of 'SW-Awaiting Checklist Completion' to reach 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-AE Assign Reviewers',""1237 days, 0:10:31"","
Minimum time it takes from 'SW-Awaiting Checklist Completion' to 'Original Manuscript Submission Confirmation',The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Original Manuscript Submission Confirmation',0:00:00,
"Average time it takes from 'SW-Awaiting Checklist Completion' to 'SW-AE Assign Reviewers' across different cases,""ERROR: computing metric {'begin': """"activity == 'SW-Awaiting Checklist Completion'"""", 'end': """"activity == 'SW-AE Assign Reviewers'"""", 'aggregation': 'average', 'group_by': 'case'}"",,"
"Total resolution time of 'SW-Awaiting Checklist Completion' for cases leading to 'SW-EIC Reject',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and the end of case where activity 'SW-EIC Reject occurs,""913 days, 17:30:49"","
"Average waiting time to the 'SW-Checklist Completed' after 'SW-Awaiting Checklist Completion',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed',""4 days, 9:34:26.341463"","
"Total time it takes 'SW-Awaiting Checklist Completion' to be followed by 'Manuscript Export Succeeded',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Manuscript Export Succeeded',""6417 days, 0:21:03"","
Minimum time for 'SW-Awaiting Checklist Completion' to 'Plagiarism Originality Report Completed',The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Plagiarism Originality Report Completed',0:21:38,
"Average time from 'SW-Awaiting Checklist Completion' to 'SW-AE Recommendation overdue', considering cases where this path occurs,The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-AE Recommendation overdue',""82 days, 11:33:06"","
"Total time from 'SW-Awaiting Checklist Completion' to 'SW-EIC Major Revision' for all instances,The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-EIC Major Revision',""1421 days, 21:51:16"","
Average time to reach 'SW-Awaiting Checklist Completion' from the start of the process,The average of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion',16:24:33.882353,
"Minimum resolution time of 'SW-Awaiting Checklist Completion' in cases that lead to 'SW-EIC Accept',The minimum of the duration between activity SW-Awaiting Checklist Completion and the end of the case,""21 days, 20:31:06"","
"Average time from 'SW-Awaiting Checklist Completion' to 'SW-Reviewer No Response',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Reviewer No Response',""61 days, 20:19:26.600000"","
"Total time for 'SW-Awaiting Checklist Completion' until 'SW-AE Assign Reviewers Challenge Paper' occurs,The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-AE Assign Reviewers Challenge Paper',""27 days, 21:12:22"","
"Average time it takes from 'SW-Awaiting Checklist Completion' to 'Reviewer Invitation Reminder 1',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Reviewer Invitation Reminder 1',""76 days, 3:04:19.268293"","
