Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average time for 'SW-Awaiting AE Recommendation' to be completed after 'SW-Reviewer Agreed',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation',""67 days, 9:50:07.375000"","
"Total resolution time of 'SW-Awaiting AE Recommendation',The sum of the duration between activity SW-Awaiting AE Recommendation and the end of the case,""2310 days, 15:41:34"","
Minimum resolution time of 'SW-Awaiting AE Recommendation',The minimum of the duration between activity SW-Awaiting AE Recommendation and the end of the case,0:38:48,
"Average waiting time to 'SW-Awaiting AE Recommendation' after 'SW-Reviewer Agreed',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation',""67 days, 9:50:07.375000"","
"Total waiting time to 'SW-Awaiting AE Recommendation' after 'SW-Reviewer Agreed',The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation',""1617 days, 20:02:57"","
"Minimum waiting time to 'SW-Awaiting AE Recommendation' after 'SW-Reviewer Agreed',The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation',""34 days, 20:03:35"","
"Average time it takes 'SW-Awaiting AE Recommendation' after the execution of 'SW-Reviewer Agreed',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation',""67 days, 9:50:07.375000"","
"Total time it takes 'SW-Awaiting AE Recommendation' after the execution of 'SW-Reviewer Agreed',The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation',""1617 days, 20:02:57"","
"Minimum time it takes 'SW-Awaiting AE Recommendation' after the execution of 'SW-Reviewer Agreed',The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation',""34 days, 20:03:35"","
"Average time between 'SW-Reviewer Agreed' and the next activity in the process,The average of the duration between activity SW-Reviewer Agreed and the end of the case,""165 days, 20:30:27.847826"","
"Total time between 'SW-Reviewer Agreed' and the next activity in the process,The sum of the duration between activity SW-Reviewer Agreed and the end of the case,""7629 days, 7:21:21"","
"Minimum time between 'SW-Reviewer Agreed' and the next activity in the process,The minimum of the duration between activity SW-Reviewer Agreed and the end of the case,""44 days, 9:23:04"","
"'SW-Awaiting AE Recommendation' Cycle Time,The sum of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Awaiting AE Recommendation',""2 days, 15:08:56"","
"Time until 'SW-Awaiting AE Recommendation' from the start of the case,The sum of the duration between the start of the case and activity 'SW-Awaiting AE Recommendation',""2029 days, 13:24:33"","
"Time from 'SW-Awaiting AE Recommendation' to 'SW-Awaiting EIC Decision',The sum of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Awaiting EIC Decision',""131 days, 2:22:40"","
"Total time for 'SW-Awaiting AE Recommendation' grouped by 'case:concept:name',""ERROR: computing metric {'begin': """"activity == 'SW-Awaiting AE Recommendation'"""", 'end': '', 'aggregation': 'total', 'group_by': 'case:concept:name'}"",,"
