Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average resolution time following 'Accepted + Wait - Vendor',The average of the duration between activity Accepted + Wait - Vendor and the end of the case,""17 days, 19:33:42.313253"","
Average time from 'Accepted + Wait - Vendor' to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + In Call',,
"Total time spent in 'Accepted + Wait - Vendor' across all cases,The sum of the duration between activity Accepted + Wait - Vendor and the end of the case,""4435 days, 22:52:36"","
"Average time difference between 'Accepted + Wait - Vendor' and the next activity,The average of the duration between activity Accepted + Wait - Vendor and the end of the case,""17 days, 19:33:42.313253"","
"Total resolution time of incidents involving 'Accepted + Wait - Vendor',The sum of the duration between activity Accepted + Wait - Vendor and the end of the case,""4435 days, 22:52:36"","
Minimum time from 'Accepted + Wait - Vendor' to 'Completed + Resolved',The minimum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Resolved',0:01:12,
"Average time from 'Accepted + Wait - Vendor' to 'Accepted + In Progress',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Accepted + In Progress',""14 days, 10:43:55.326087"","
Total time from 'Accepted + Wait - Vendor' to 'Completed + Closed' for high impact cases,The sum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Closed',,
"Average delay caused by 'Accepted + Wait - Vendor' in the incident resolution process,The average of the duration between activity Accepted + Wait - Vendor and the end of the case,""17 days, 19:33:42.313253"","
"Time until 'Accepted + Wait - Vendor' from case initiation,The average of the duration between the start of the case and activity 'Accepted + Wait - Vendor',""5 days, 9:49:48.465863"","
"Elapsed time between 'Accepted + Wait - Vendor' and 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Queued + Awaiting Assignment',""11 days, 13:09:42.866667"","
Minimum resolution time of incidents after 'Accepted + Wait - Vendor',The minimum of the duration between activity Accepted + Wait - Vendor and the end of the case,0:01:14,
"Average time from 'Accepted + Wait - Vendor' to the final activity in the most frequent variant paths,The average of the duration between activity Accepted + Wait - Vendor and the end of the case,""17 days, 19:33:42.313253"","
"Average time to reach 'Accepted + Wait - Vendor' from 'Accepted + In Progress',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Vendor',""5 days, 10:07:25.375000"","
"Total time in 'Accepted + Wait - Vendor' for cases resolved within the target resolution time,The sum of the duration between activity Accepted + Wait - Vendor and the end of the case,""4435 days, 22:52:36"","
"Minimum time from 'Accepted + Wait - Vendor' to 'Accepted + Wait - Customer',The minimum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Accepted + Wait - Customer',""3 days, 16:10:53"","
"Time of 'Accepted + Wait - Vendor' in relation to total case duration,The average of the duration between activity Accepted + Wait - Vendor and the end of the case,""17 days, 19:33:42.313253"","
"'Accepted + Wait - Vendor' cycle time in comparison to 'Accepted + Wait - User' cycle time,The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Accepted + Wait - User',""11 days, 13:07:42.370968"","
