Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average resolution time of 'Accepted + Wait - Implementation',The average of the duration between activity Accepted + Wait - Implementation and the end of the case,""17 days, 8:00:03.150121"","
"Total time from 'Accepted + Wait - Implementation' to 'Completed + Closed',The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',""7091 days, 16:40:00"","
"Total time for 'Accepted + Wait - Implementation',The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""7158 days, 16:21:41"","
Minimum time from 'Accepted + Wait - Implementation' to 'Completed + In Call',The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',1:17:29,
"Average time it takes 'Accepted + Wait - Implementation' after 'Queued + Awaiting Assignment',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait - Implementation',""13 days, 15:05:08.357558"","
"Total time it takes 'Accepted + Wait - Implementation' to be done after 'Accepted + Assigned',The sum of the duration between activity 'Accepted + Assigned' and activity 'Accepted + Wait - Implementation',""2357 days, 5:00:07"","
Minimum resolution time of 'Accepted + Wait - Implementation',The minimum of the duration between activity Accepted + Wait - Implementation and the end of the case,0:00:00,
"Average waiting time to the 'Accepted + Wait - Implementation',The average of the duration between activity Accepted + Wait - Implementation and the end of the case,""17 days, 8:00:03.150121"","
"Total waiting time to the 'Accepted + Wait - Implementation',The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""7158 days, 16:21:41"","
Minimum waiting time to the 'Accepted + Wait - Implementation',The minimum of the duration between activity Accepted + Wait - Implementation and the end of the case,0:00:00,
"'Accepted + Wait - Implementation' Cycle Time,The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - Implementation',""614 days, 3:19:08"","
"Time from 'Accepted + Wait - Implementation' to 'Completed + Resolved' compared to time from 'Accepted + Wait - Vendor' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""27 days, 2:04:25.695652"","
"Time from 'Accepted + Wait - Implementation' to 'Completed + Resolved' compared to time from 'Accepted + Wait - Customer' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""34 days, 20:59:50.444444"","
"Average time from 'Accepted + Wait - Implementation' to next activity in the process,The average of the duration between activity Accepted + Wait - Implementation and the end of the case,""17 days, 8:00:03.150121"","
"Total time from 'Accepted + Wait - Implementation' to the end of the case,The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""7158 days, 16:21:41"","
