Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average time from 'SW-Awaiting Checklist Completion' to 'Original Manuscript Submission Confirmation',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Original Manuscript Submission Confirmation',""2 days, 6:59:07.905882"","
"Total time for 'SW-Awaiting Checklist Completion' across all cases,The sum of the duration between activity SW-Awaiting Checklist Completion and the end of the case,""9264 days, 1:01:15"","
Minimum time to complete 'SW-Awaiting Checklist Completion',The minimum of the duration between activity SW-Awaiting Checklist Completion and the end of the case,3:27:58,
"Average time between 'SW-Awaiting Checklist Completion' and 'SW-Checklist Completed',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed',""4 days, 9:34:26.341463"","
"Total resolution time of 'SW-Awaiting Checklist Completion',The sum of the duration between activity SW-Awaiting Checklist Completion and the end of the case,""9264 days, 1:01:15"","
"Average time from 'SW-Awaiting Checklist Completion' to 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-AE Assign Reviewers',""28 days, 2:43:52.522727"","
Minimum time from 'SW-Awaiting Checklist Completion' to 'SW-EIC Decision',The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-EIC Decision',,
"Average time it takes from 'SW-Awaiting Checklist Completion' to 'Manuscript Export Succeeded',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Manuscript Export Succeeded',""75 days, 11:51:46.623529"","
"Total time it takes from 'SW-Awaiting Checklist Completion' to 'Plagiarism Originality Report Completed',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Plagiarism Originality Report Completed',""120 days, 18:08:16"","
Average waiting time to the 'SW-Awaiting Checklist Completion',The average of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion',16:24:33.882353,
"Total time from 'SW-Awaiting Checklist Completion' to 'SW-Awaiting AE Assignment',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting AE Assignment',""181 days, 14:48:23"","
"Minimum resolution time of 'SW-Awaiting Checklist Completion' before 'SW-Reviewer Agreed',The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Reviewer Agreed',""5 days, 3:24:51"","
"Total time for 'SW-Awaiting Checklist Completion' before 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-AE Assign Reviewers',""1237 days, 0:10:31"","
"Average time from 'SW-Awaiting Checklist Completion' to the next activity in the process,The average of the duration between activity SW-Awaiting Checklist Completion and the end of the case,""108 days, 23:43:46.764706"","
"Total time from 'SW-Awaiting Checklist Completion' to 'SW-EIC Reject & Resubmit' in the variant with the longest performance,""ERROR: computing metric {'begin': """"activity == 'SW-Awaiting Checklist Completion'"""", 'end': """"activity == 'SW-EIC Reject & Resubmit'"""", 'aggregation': 'total', 'filter': """"performance == 'longest'""""}"",,"
