Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average resolution time from 'Accepted + In Progress' to 'Completed + Closed',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',""16 days, 1:40:38.796698"",,,,"
"Median time from 'Queued + Awaiting Assignment' to 'Completed + Closed',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Closed',""17 days, 4:13:54.808305"",,,,"
"Average time difference between 'Completed + In Call' and 'Completed + Closed',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Closed',""12 days, 10:53:36.649254"",,,,"
"Total time spent in 'Completed + Closed' for incidents resolved within the same day,The sum of the duration between the start of the case and activity 'Completed + Closed',""89695 days, 2:26:19"",,,,"
"Average delay time from 'Completed + Resolved' to 'Completed + Closed',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Closed',""6 days, 5:09:22.288841"",,,,"
"Total resolution time of 'Completed + Closed' incidents grouped by 'country',The sum of the duration between the start of the case and activity 'Completed + Closed',0:321 days 08:01:50,""{""""0"""":27763310000,""""SE"""":48506732000,""""au"""":29370642000,""""be"""":537439699000,""""br"""":238069606000,""""ca"""":53325524000,""""cl"""":5248812000,""""cn"""":122782511000,""""de"""":19945034000,""""fr"""":511503895000,""""gb"""":31899434000,""""in"""":550285036000,""""jp"""":25653524000,""""kr"""":88149379000,""""my"""":16004824000,""""nl"""":990251106000,""""pe"""":1244338000,""""pl"""":1020181841000,""""ru"""":54274650000,""""se"""":2900825627000,""""th"""":1172917000,""""tr"""":1674368000,""""us"""":474083970000}"",,,"
"Maximum time to reach 'Completed + Closed' from 'Accepted + Wait - Vendor',The maximum of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Closed',""364 days, 9:19:48"",,,,"
"Average time from 'Completed + In Call' to 'Completed + Closed' across all variants,The average of the duration between activity 'Completed + In Call' and activity 'Completed + Closed',""12 days, 10:53:36.649254"",,,,"
"Total time from first 'Accepted + In Progress' to 'Completed + Closed' in the most frequent variant,The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',""89557 days, 12:23:34"",,,,"
"Difference in average resolution time between incidents ending in 'Completed + Closed' and those ending in 'Completed + Resolved',The average of the duration between the start of the case and activity 'Completed + Closed',""16 days, 2:12:02.350018"",,,,"
