Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average duration of 'Accepted + Wait - Implementation' before transitioning to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',""2 days, 3:44:12.571429"","
"Total duration of all 'Accepted + Wait - Implementation' activities within a case,The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""7158 days, 16:21:41"","
Minimum duration of 'Accepted + Wait - Implementation' across all cases,The minimum of the duration between activity Accepted + Wait - Implementation and the end of the case,0:00:00,
"Average duration from 'Accepted + Wait - Implementation' to 'Accepted + In Progress' across cases,The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + In Progress',""13 days, 22:39:18.255639"","
"Total duration from 'Accepted + Wait - Implementation' to 'Completed + Resolved' for cases including both activities,The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""5640 days, 20:38:52"","
"Difference in average duration between 'Accepted + Wait - Implementation' and 'Queued + Awaiting Assignment' activities,The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Queued + Awaiting Assignment',""12 days, 6:52:41.111111"","
Minimum duration from 'Accepted + Wait - Implementation' to 'Completed + In Call' across cases,The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',1:17:29,
"Maximum duration of 'Accepted + Wait - Implementation' before any subsequent activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - Implementation' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""470 days, 11:44:00"","
"Average duration of 'Accepted + Wait - Implementation' in cases with 'High' impact compared to 'Medium' and 'Low',The average of the duration between activity Accepted + Wait - Implementation and the end of the case,""13 days, 22:34:41.428571"","
"Total duration of 'Accepted + Wait - Implementation' activities in cases involving 'Org line A2',The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""1322 days, 3:50:27"","
"Duration of the longest 'Accepted + Wait - Implementation' activity across the event log,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - Implementation' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""470 days, 11:44:00"","
"Average duration of 'Accepted + Wait - Implementation' in cases ending with 'Completed + Closed',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',""17 days, 22:53:15.949367"","
Difference in average duration of 'Accepted + Wait - Implementation' between cases with 'PROD582' and other products,The average of the duration between activity Accepted + Wait - Implementation and the end of the case,,
"Total duration of 'Accepted + Wait - Implementation' activities in cases that transitioned to 'Completed + In Call' more than once,The sum of the duration between activity Accepted + Wait - Implementation and activity Completed + In Call for cases where activity Completed + In Call occurs,""15 days, 2:09:28"","
"Average duration of 'Accepted + Wait - Implementation' in cases with more than one occurrence of this activity,The average of the duration between activity 'Accepted + Wait - Implementation' and the end of case where activity 'Accepted + Wait - Implementation occurs,""17 days, 8:00:03.150121"","
