Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE';0.03;;A
Number of 'Declaration REJECTED by SUPERVISOR' that are preceded by 'Declaration APPROVED by ADMINISTRATION';Number of 'Declaration REJECTED by SUPERVISOR' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;223;;B
Percentage of 'Declaration REJECTED by SUPERVISOR' followed by 'Declaration REJECTED by EMPLOYEE';Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration REJECTED by EMPLOYEE';0.23;;B
Number of 'Declaration REJECTED by SUPERVISOR' in relation to 'Declaration FINAL_APPROVED by SUPERVISOR';Number of 'Declaration REJECTED by SUPERVISOR' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;209;;B
Percentage of 'Declaration REJECTED by SUPERVISOR' by SUPERVISOR;Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases;1.0;;A
Number of 'Declaration REJECTED by SUPERVISOR' grouped by case:BudgetNumber;Number of 'Declaration REJECTED by SUPERVISOR' activities grouped by the last value of case:BudgetNumber;budget 86566:293;"{""budget 86566"":293}";A
Percentage of 'Declaration REJECTED by SUPERVISOR' from all 'Declaration APPROVED by PRE_APPROVER';Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration APPROVED by PRE_APPROVER';0.02;;A
Number of 'Declaration REJECTED by SUPERVISOR' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by SUPERVISOR'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration REJECTED by SUPERVISOR' that are not dismissed;Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases where 'dismissed' does not happen;0.03;;A
Percentage of 'Declaration REJECTED by SUPERVISOR' with an increment in case:Amount;Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases;0.02;;B
Average number of 'Declaration REJECTED by SUPERVISOR' in a month;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by SUPERVISOR'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Total 'Declaration REJECTED by SUPERVISOR' done by SUPERVISOR;Number of 'Declaration REJECTED by SUPERVISOR' activities == 'SUPERVISOR' where ma is the last value of org:role;4;;A
Fraction of 'Declaration REJECTED by SUPERVISOR' that are dismissed;Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'dismissed';;;D
Ratio of 'Declaration REJECTED by SUPERVISOR' over 'Declaration APPROVED by BUDGET OWNER';Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration APPROVED by BUDGET OWNER';0.03;;B
Occasions how often the 'Declaration REJECTED by SUPERVISOR' is performed in relation to 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;;B
The ratio of 'Declaration REJECTED by SUPERVISOR' that are not eventually performed compared to 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE';0.03;;B
Percentage of 'Declaration REJECTED by SUPERVISOR' out of all rejection activities;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity LIKE 'Declaration REJECTED by %'""}";;;C
Number of times 'Declaration REJECTED by SUPERVISOR' is performed in cases with amounts above 100 euros;Number of 'Declaration REJECTED by SUPERVISOR' activities > 100 where ma is the last value of case:Amount;80;;B
