Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration APPROVED by PRE_APPROVER';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';2 days, 9:29:05.653153;;A
Average time from 'Declaration APPROVED by PRE_APPROVER' to 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';2 days, 17:55:44.241327;;A
Total time for 'Declaration APPROVED by PRE_APPROVER' in cases leading to 'Request Payment';The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and the end of case where activity 'Request Payment occurs;6589 days, 17:16:27;;A
Average time between 'Declaration APPROVED by PRE_APPROVER' and 'Payment Handled';The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Payment Handled';9 days, 23:37:34.222727;;A
Minimum time from 'Declaration APPROVED by PRE_APPROVER' to 'Declaration REJECTED by SUPERVISOR';The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by SUPERVISOR';00:16:50;;D
Average resolution time of 'Declaration APPROVED by PRE_APPROVER' in successful payment cases;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Payment Handled';9 days, 23:37:34.222727;;B
Total resolution time of 'Declaration APPROVED by PRE_APPROVER' in cases with 'Declaration REJECTED by PRE_APPROVER';The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER occurs;800 days, 11:18:14;;B
Minimum time to 'Declaration APPROVED by PRE_APPROVER' grouped by 'org:resource';The minimum of the duration between the start of the case and activity 'Declaration APPROVED by PRE_APPROVER';STAFF MEMBER:0 days 00:00:20;"{""STAFF MEMBER"":20000,""SYSTEM"":1000}";A
Minimum time to 'Declaration APPROVED by PRE_APPROVER' grouped by 'org:resource';The minimum of the duration between the start of the case and activity 'Declaration APPROVED by PRE_APPROVER';SYSTEM:0 days 00:00:01;"{""STAFF MEMBER"":20000,""SYSTEM"":1000}";A
Average waiting time to 'Declaration APPROVED by PRE_APPROVER' after 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';2 days, 9:29:05.653153;;B
Total time it takes 'Declaration APPROVED by PRE_APPROVER' after 'Declaration REJECTED by PRE_APPROVER';The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by PRE_APPROVER';302 days, 5:06:52;;A
Average time it takes 'Declaration APPROVED by PRE_APPROVER' to be followed by 'Request Payment';The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Request Payment';6 days, 6:45:13.804545;;A
Total time for 'Declaration APPROVED by PRE_APPROVER' in cases ending with 'Payment Handled';The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and the end of case where activity 'Payment Handled occurs;6589 days, 17:16:27;;B
Minimum resolution time of 'Declaration APPROVED by PRE_APPROVER' in cases without 'Declaration REJECTED by PRE_APPROVER';The minimum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;2 days, 3:28:42;;B
Elapsed time between 'Declaration APPROVED by PRE_APPROVER' and next activity in the process;The average of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;9 days, 23:07:31.957958;;B
Time from 'Declaration APPROVED by PRE_APPROVER' to 'Declaration FINAL_APPROVED by SUPERVISOR' in cases with prior 'Declaration REJECTED by ADMINISTRATION';The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;;D
Average time for 'Declaration APPROVED by PRE_APPROVER' in cases leading to a trip taking place;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and the end of case where activity 'Request Payment occurs;9 days, 23:37:34.222727;;B
Total time since 'Declaration APPROVED by PRE_APPROVER' until the end of the process;The sum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;6635 days, 17:36:44;;A
Minimum time it takes the 'Declaration APPROVED by PRE_APPROVER' to be done in cases with 'Declaration REJECTED by EMPLOYEE';The minimum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;2 days, 16:36:02;;B
'Declaration APPROVED by PRE_APPROVER' Cycle Time in the context of the entire process flow;The average of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;9 days, 23:07:31.957958;;B
Average time from 'Declaration APPROVED by PRE_APPROVER' to 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration APPROVED by BUDGET OWNER';308 days, 0:10:20;;A
