Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration APPROVED by BUDGET OWNER' to 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';3 days 00:14:23.186919;;A
Average time between 'Declaration APPROVED by ADMINISTRATION' and 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER';2 days 04:45:27.467047;;A
Total time for 'Declaration APPROVED by BUDGET OWNER' across all cases;The sum of the duration between activity Declaration APPROVED by BUDGET OWNER and the end of the case;27251 days 01:59:37;;A
Average time it takes 'Declaration APPROVED by BUDGET OWNER' after 'Declaration APPROVED by ADMINISTRATION';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER';2 days 04:45:27.467047;;A
Total resolution time of 'Declaration APPROVED by BUDGET OWNER';The sum of the duration between activity Declaration APPROVED by BUDGET OWNER and the end of the case;27251 days 01:59:37;;B
Minimum time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration APPROVED by BUDGET OWNER';The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by BUDGET OWNER';0 days 00:01:07;;A
Average waiting time to the 'Declaration APPROVED by BUDGET OWNER';The average of the duration between the start of the case and activity 'Declaration APPROVED by BUDGET OWNER';4 days 12:07:21.001069;;B
Total time it takes 'Declaration APPROVED by BUDGET OWNER' to be followed by 'Declaration FINAL_APPROVED by SUPERVISOR';The sum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';8421 days 22:53:17;;A
Minimum time between 'Declaration APPROVED by BUDGET OWNER' and 'Request Payment';The minimum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Request Payment';0 days 00:02:19;;A
Time from 'Declaration APPROVED by BUDGET OWNER' to 'Payment Handled';The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Payment Handled';9 days 15:37:28.491065;;A
Average time for 'Declaration APPROVED by BUDGET OWNER' in cases leading to 'Payment Handled';The average of the duration between activity Declaration APPROVED by BUDGET OWNER and activity Payment Handled for cases where activity Payment Handled occurs;9 days 15:37:28.491065;;A
Total time for 'Declaration APPROVED by BUDGET OWNER' in cases where 'Declaration REJECTED by PRE_APPROVER' occurred;The sum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER occurs;;;A
Minimum time it takes 'Declaration APPROVED by BUDGET OWNER' to be done after 'Declaration APPROVED by ADMINISTRATION';The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER';0 days 00:00:18;;A
Time of 'Declaration APPROVED by BUDGET OWNER' in the context of reducing 'Declaration REJECTED by PRE_APPROVER' occurrences;The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER does not occur;9 days 16:59:53.579266;;B
'Declaration APPROVED by BUDGET OWNER' Cycle Time in comparison to 'Declaration FINAL_APPROVED by SUPERVISOR' Cycle Time;The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';3 days 00:14:23.186919;;B
