Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION';1 days 00:23:47;;A
Average time from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Total time for Declaration FOR_APPROVAL by ADMINISTRATION to reach Payment Handled;The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Payment Handled';13 days 07:26:12;;A
Average time between Declaration FOR_APPROVAL by ADMINISTRATION and Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';7 days 02:28:03;;A
Minimum time from Declaration FOR_APPROVAL by ADMINISTRATION to Request Payment;The minimum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Request Payment';8 days 23:30:32;;A
Average waiting time for Declaration FOR_APPROVAL by ADMINISTRATION before Declaration APPROVED by BUDGET OWNER;The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER';1 days 01:02:42;;B
Total resolution time of Declaration FOR_APPROVAL by ADMINISTRATION cases;The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case;13 days 07:26:12;;B
Minimum time it takes Declaration FOR_APPROVAL by ADMINISTRATION to be followed by Declaration REJECTED by ADMINISTRATION;The minimum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration REJECTED by ADMINISTRATION';;;D
Average time it takes from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration SUBMITTED by EMPLOYEE;The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration SUBMITTED by EMPLOYEE';1 days 00:23:44;;A
Total time it takes from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration APPROVED by PRE_APPROVER;The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by PRE_APPROVER';;;D
Average time for Declaration FOR_APPROVAL by ADMINISTRATION to be followed by any rejection activity;"ERROR: computing metric {'begin': ""activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'end': ""activity == 'Declaration REJECTED by PRE_APPROVER' or activity == 'Declaration REJECTED by ADMINISTRATION' or activity == 'Declaration REJECTED by SUPERVISOR' or activity == 'Declaration REJECTED by BUDGET OWNER'"", 'aggregation': 'average'}";;;C
Total time for Declaration FOR_APPROVAL by ADMINISTRATION until the start of the next activity in the process;The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case;13 days 07:26:12;;B
Minimum resolution time of Declaration FOR_APPROVAL by ADMINISTRATION before reaching Declaration FINAL_APPROVED by SUPERVISOR;The minimum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';7 days 02:28:03;;B
Average time from Declaration FOR_APPROVAL by ADMINISTRATION to the occurrence of Declaration REJECTED by PRE_APPROVER; focusing on reducing this duration;The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration REJECTED by PRE_APPROVER';;D
Total time from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration APPROVED by ADMINISTRATION; comparing the duration with other approval activities;The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION';1 days 00:23:47;B
