Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SAVED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';;;D
Total time from 'Declaration SAVED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The sum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';;;D
Minimum time from 'Declaration SAVED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';;;D
Average time for 'Declaration SAVED by EMPLOYEE' to be followed by any approval activity;"ERROR: computing metric {'begin': ""activity == 'Declaration SAVED by EMPLOYEE'"", 'end': ""activity == 'Declaration APPROVED by ADMINISTRATION' or activity == 'Declaration APPROVED by BUDGET OWNER' or activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'average'}";;;C
Total resolution time of 'Declaration SAVED by EMPLOYEE';The sum of the duration between activity Declaration SAVED by EMPLOYEE and the end of the case;20 days 02:06:53;;B
Minimum resolution time of 'Declaration SAVED by EMPLOYEE';The minimum of the duration between activity Declaration SAVED by EMPLOYEE and the end of the case;0 days 00:00:00;;B
Average time from 'Declaration SAVED by EMPLOYEE' to 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Total time from 'Declaration SAVED by EMPLEE' to 'Declaration REJECTED by PRE_APPROVER';The sum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Minimum time from 'Declaration SAVED by EMPLOYEE' to 'Declaration REJECTED by PRE_APPROVER';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Average time from 'Declaration SAVED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;;D
Total time from 'Declaration SAVED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The sum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;;D
Minimum time from 'Declaration SAVED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;;D
Average time from 'Declaration SAVED by EMPLOYEE' to 'Request Payment';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Request Payment';17 days 00:48:01;;A
Total time from 'Declaration SAVED by EMPLOYEE' to 'Request Payment';The sum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Request Payment';17 days 00:48:01;;A
Minimum time from 'Declaration SAVED by EMPLOYEE' to 'Request Payment';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Request Payment';17 days 00:48:01;;A
Average time from 'Declaration SAVED by EMPLOYEE' to 'Payment Handled';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Payment Handled';20 days 02:06:53;;A
Total time from 'Declaration SAVED by EMPLOYEE' to 'Payment Handled';The sum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Payment Handled';20 days 02:06:53;;A
Minimum time from 'Declaration SAVED by EMPLOYEE' to 'Payment Handled';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Payment Handled';20 days 02:06:53;;A
Average time for 'Declaration SAVED by EMPLOYEE' considering cases that follow the variant ending in 'Payment Handled';The average of the duration between activity Declaration SAVED by EMPLOYEE and activity Payment Handled for cases where activity Payment Handled occurs;20 days 02:06:53;;B
Total time for 'Declaration SAVED by EMPLOYEE' considering cases that follow the variant ending in 'Payment Handled';The sum of the duration between activity Declaration SAVED by EMPLOYEE and activity Payment Handled for cases where activity Payment Handled occurs;20 days 02:06:53;;B
Minimum time for 'Declaration SAVED by EMPLOYEE' considering cases that follow the variant ending in 'Payment Handled';The minimum of the duration between activity Declaration SAVED by EMPLOYEE and activity Payment Handled for cases where activity Payment Handled occurs;20 days 02:06:53;;B
Average time for 'Declaration SAVED by EMPLOYEE' in cases leading to 'Declaration REJECTED by PRE_APPROVER' to identify bottlenecks in the rejection process;The average of the duration between activity Declaration SAVED by EMPLOYEE and activity Declaration REJECTED by PRE_APPROVER for cases where activity Declaration REJECTED by PRE_APPROVER occurs;;;D
Total time for 'Declaration SAVED by EMPLOYEE' in cases leading to 'Declaration REJECTED by PRE_APPROVER' to identify bottlenecks in the rejection process;The sum of the duration between activity Declaration SAVED by EMPLOYEE and activity Declaration REJECTED by PRE_APPROVER for cases where activity Declaration REJECTED by PRE_APPROVER occurs;;;D
Minimum time for 'Declaration SAVED by EMPLOYEE' in cases leading to 'Declaration REJECTED by PRE_APPROVER' to identify bottlenecks in the rejection process;The minimum of the duration between activity Declaration SAVED by EMPLOYEE and activity Declaration REJECTED by PRE_APPROVER for cases where activity Declaration REJECTED by PRE_APPROVER occurs;;;D
