Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by ADMINISTRATION';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';8 days 07:56:15.401891;;A
Average time from 'Declaration REJECTED by ADMINISTRATION' to 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';3 days 13:50:56.539834;;A
Total time spent on 'Declaration REJECTED by ADMINISTRATION' across all cases;The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;11718 days 12:26:59;;A
Average time between 'Declaration REJECTED by ADMINISTRATION' and 'Declaration SUBMITTED by EMPLOYEE' for cases that are eventually approved;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration SUBMITTED by EMPLOYEE';7 days 21:26:24.422360;;B
Total resolution time of cases involving 'Declaration REJECTED by ADMINISTRATION';The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;11718 days 12:26:59;;B
Minimum time from 'Declaration REJECTED by ADMINISTRATION' to 'Declaration SUBMITTED by EMPLOYEE' in cases where the declaration is resubmitted;The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration SUBMITTED by EMPLOYEE';0 days 00:06:26;;B
Average time from 'Declaration REJECTED by ADMINISTRATION' to 'Declaration APPROVED by ADMINISTRATION' in cases where declarations are eventually approved;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION';7 days 22:11:43.218944;;B
Total time from 'Declaration REJECTED by ADMINISTRATION' to 'Payment Handled' in cases that reach completion;The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Payment Handled';10860 days 09:50:12;;B
Average waiting time to 'Declaration REJECTED by ADMINISTRATION' after 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';8 days 07:56:15.401891;;B
Minimum time from 'Declaration REJECTED by ADMINISTRATION' to 'Declaration APPROVED by ADMINISTRATION' for cases that are corrected and approved;The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION';0 days 00:06:28;;B
Average time it takes from 'Declaration REJECTED by ADMINISTRATION' to the next activity in the process;The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;13 days 20:26:24.892435;;B
Total time it takes for cases with 'Declaration REJECTED by ADMINISTRATION' to be finalized either through approval or final rejection;The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;11718 days 12:26:59;;B
Average time from 'Declaration REJECTED by ADMINISTRATION' to 'Declaration REJECTED by EMPLOYEE' in cases where the employee resubmits;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';3 days 13:50:56.539834;;B
Total time for all activities to be completed after 'Declaration REJECTED by ADMINISTRATION';The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;11718 days 12:26:59;;A
Average time for a case to be closed after 'Declaration REJECTED by ADMINISTRATION' considering both approvals and final rejections;The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;13 days 20:26:24.892435;;B
