Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';4 days 15:31:58.871886;;A
Average time between Declaration REJECTED by SUPERVISOR and Request Payment;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Request Payment';12 days 20:04:18.343137;;A
Total time for cases to move from Declaration REJECTED by SUPERVISOR to Declaration SUBMITTED by EMPLOYEE;The sum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration SUBMITTED by EMPLOYEE';1897 days 10:59:21;;A
Minimum time from Declaration APPROVED by ADMINISTRATION to Declaration REJECTED by SUPERVISOR;The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by SUPERVISOR';0 days 00:02:51;;A
Average resolution time of Declaration REJECTED by SUPERVISOR;The average of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;14 days 21:33:11.042705;;B
Total resolution time of cases involving Declaration REJECTED by SUPERVISOR;The sum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;4186 days 08:24:43;;B
Average time it takes from Declaration REJECTED by SUPERVISOR to Declaration APPROVED by PRE_APPROVER;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration APPROVED by PRE_APPROVER';7 days 07:02:18.600000;;A
Minimum time it takes for a case to be resubmitted after Declaration REJECTED by SUPERVISOR;The minimum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration SUBMITTED by EMPLOYEE';0 days 00:11:38;;A
Average waiting time to Declaration REJECTED by SUPERVISOR after Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by SUPERVISOR';2 days 23:21:07.299539;;B
Total time from Declaration REJECTED by SUPERVISOR to the next activity in the process;The sum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;4186 days 08:24:43;;A
Average time from Declaration REJECTED by SUPERVISOR to Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';10 days 06:19:45.681373;;A
Minimum resolution time of cases with Declaration REJECTED by SUPERVISOR before being approved;The minimum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;0 days 00:00:00;;B
Total time for Declaration REJECTED by SUPERVISOR cases to be finalized;The sum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;4186 days 08:24:43;;A
Average time for Declaration REJECTED by SUPERVISOR cases to be reinitiated after rejection;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration SUBMITTED by EMPLOYEE';8 days 16:53:40.004587;;A
Total time it takes from Declaration REJECTED by SUPERVISOR to Declaration APPROVED by BUDGET OWNER;The sum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration APPROVED by BUDGET OWNER';458 days 01:13:50;;A
