Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';8 days 19:18:16.757426;;A
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';6 days 06:36:13.441207;;A
Total time spent on cases involving 'Declaration REJECTED by EMPLOYEE';The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814 days 07:41:12;;B
Average time between 'Declaration REJECTED by PRE_APPROVER' and 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration REJECTED by EMPLOYEE';2 days 02:41:01.111111;;A
Total resolution time of 'Declaration REJECTED by EMPLOYEE';The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814 days 07:41:12;;B
Minimum time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';0 days 00:00:29;;A
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration APPROVED by ADMINISTRATION';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';6 days 02:08:17.277108;;A
Total time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';7727 days 06:55:45;;A
Minimum time from 'Declaration REJECTED by EMPLOYEE' to 'Request Payment';The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Request Payment';0 days 00:02:58;;A
Average time it takes for a case to be reopened after 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';6 days 06:36:13.441207;;B
Total time for cases to reach 'Payment Handled' after 'Declaration REJECTED by EMPLOYEE';The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Payment Handled';13903 days 03:12:26;;A
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration APPROVED by PRE_APPROVER';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';3 days 05:41:40.064935;;A
Minimum resolution time of cases involving 'Declaration REJECTED by EMPLOYEE' before reaching 'Payment Handled';The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Payment Handled';1 days 06:19:23;;B
Average time for 'Declaration REJECTED by EMPLOYEE' in cases that require director approval;The average of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;;;D
Total time for 'Declaration REJECTED by EMPLOYEE' in cases involving domestic declarations;The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814 days 07:41:12;;A
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by BUDGET OWNER';7 days 19:11:39.723810;;A
Total time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration SAVED by EMPLOYEE';The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SAVED by EMPLOYEE';;;D
Minimum time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration FOR_APPROVAL by SUPERVISOR';The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;;D
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration REJECTED by ADMINISTRATION';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';12 days 08:32:47.453608;;A
