Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average duration of 'Accepted + In Progress' before transitioning to 'Completed + In Call',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
"Median duration of 'Accepted + In Progress' across all cases,The average of the duration between activity Accepted + In Progress and the end of the case,""12 days, 1:31:32.497611"","
"Standard deviation of time for 'Accepted + In Progress' to transition to any subsequent activity,The average of the duration between activity Accepted + In Progress and the end of the case,""12 days, 1:31:32.497611"","
"Average duration from 'Accepted + In Progress' to 'Completed + Resolved',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',""11 days, 0:27:37.584765"","
"Total duration of 'Accepted + In Progress' in cases where it directly precedes 'Completed + In Call',The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',""726 days, 17:01:04"","
"Longest duration of 'Accepted + In Progress' before transitioning to 'Queued + Awaiting Assignment',The maximum of the duration between activity 'Accepted + In Progress' and activity 'Queued + Awaiting Assignment',""395 days, 18:39:18"","
Shortest duration of 'Accepted + In Progress' across all variants,The minimum of the duration between activity Accepted + In Progress and the end of the case,0:00:00,
"Average duration of 'Accepted + In Progress' in cases ending with 'Completed + Closed',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',""16 days, 1:40:38.796698"","
Duration of 'Accepted + In Progress' in the fastest completing variant of the process,The minimum of the duration between activity Accepted + In Progress and the end of the case,0:00:00,
"Duration of 'Accepted + In Progress' in the slowest completing variant of the process,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + In Progress' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x000002583FC292D0> - AppliesTo.PROCESS,""771 days, 8:26:33"","
"Comparison of average duration of 'Accepted + In Progress' in cases with 'High' impact versus 'Low' impact,The average of the duration between activity 'Accepted + In Progress' and the end of case grouped by the last value of impact filtered by the function ma == 'High' where ma is the last value of impact,High:16 days 01:49:04.360153,""{""""High"""":1388944360}"""
"Average duration between 'Accepted + In Progress' and 'Accepted + Wait - User',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - User',""5 days, 16:16:14.116298"","
"Total cumulative duration of 'Accepted + In Progress' across all cases,The sum of the duration between activity Accepted + In Progress and the end of the case,""90911 days, 1:37:42"","
Duration of 'Accepted + In Progress' before reaching 'Completed + In Call' in the most frequent variant,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
"Variation in duration of 'Accepted + In Progress' before and after 'Queued + Awaiting Assignment' in all cases,The average of the duration between activity 'Accepted + In Progress' and activity 'Queued + Awaiting Assignment',""4 days, 8:30:01.120050"","
"Average lead time from 'Accepted + In Progress' to 'Completed + Closed' excluding time spent in 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',""16 days, 1:40:38.796698"","
