Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Frequency of 'Declaration REJECTED by MISSING' compared to 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE';0.01;;B
Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.01;;A
Number of 'Declaration REJECTED by MISSING' that are followed by 'Request Payment';Number of 'Declaration REJECTED by MISSING' activities for cases where activity 'Request Payment' occurs;63;;B
Percentage of 'Declaration REJECTED by MISSING' from all 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;;A
Frequency of 'Declaration REJECTED by MISSING' in relation to 'Declaration REJECTED by PRE_APPROVER' to identify improvement areas towards reducing rejections;Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration REJECTED by PRE_APPROVER';0.05;;B
Percentage of 'Declaration REJECTED by MISSING' by month to identify any seasonal patterns;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'month'}";;;C
Number of 'Declaration REJECTED by MISSING' with amounts above 100 euros to assess financial impact;Number of 'Declaration REJECTED by MISSING' activities > 100 where ma is the last value of case:Amount;34;;B
Percentage of 'Declaration REJECTED by MISSING' that lead to a 'Payment Handled' to understand the end-to-end process efficiency;Percentage of 'Declaration REJECTED by MISSING' out of all 'Payment Handled';0.01;;B
Frequency of 'Declaration REJECTED by MISSING' per year to observe trends over time;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration REJECTED by MISSING' by 'org:resource' to identify if specific staff members have higher rejection rates;Percentage of 'Declaration REJECTED by MISSING' out of all cases;STAFF MEMBER:0.07;"{""STAFF MEMBER"":0.0656455142,""SYSTEM"":0.0056755949}";B
Percentage of 'Declaration REJECTED by MISSING' by 'org:resource' to identify if specific staff members have higher rejection rates;Percentage of 'Declaration REJECTED by MISSING' out of all cases;SYSTEM:0.01;"{""STAFF MEMBER"":0.0656455142,""SYSTEM"":0.0056755949}";B
Ratio of 'Declaration REJECTED by MISSING' over 'Declaration APPROVED by BUDGET OWNER' to assess the approval process effectiveness;Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration APPROVED by BUDGET OWNER';0.0;;B
Number of times 'Declaration REJECTED by MISSING' is performed before a 'Declaration FINAL_APPROVED by SUPERVISOR' to understand process bottlenecks;Number of 'Declaration REJECTED by MISSING' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;89;;B
Percentage of 'Declaration REJECTED by MISSING' with an increment in case amount; indicating potential financial discrepancies;"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > previous_case:Amount'}";;C
Frequency of 'Declaration REJECTED by MISSING' in the context of the total event log activities to gauge its impact on the overall process;Percentage of 'Declaration REJECTED by MISSING' out of all cases where '' does not happen;0.01;;B
Percentage of 'Declaration REJECTED by MISSING' followed by 'Declaration SUBMITTED by EMPLOYEE'; indicating re-submission rates after rejection.;Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE';0.01;B
