Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average duration of 'Accepted + Wait - Implementation' before transitioning to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',""2 days, 3:44:12.571429"","
"Median duration of 'Accepted + Wait - Implementation' across all cases,The average of the duration between activity Accepted + Wait - Implementation and the end of the case,""17 days, 8:00:03.150121"","
"Maximum duration of 'Accepted + Wait - Implementation' before any subsequent activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - Implementation' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""470 days, 11:44:00"","
"Average duration from 'Accepted + In Progress' to 'Accepted + Wait - Implementation',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Implementation',""11 days, 23:31:57.208738"","
"Total duration of 'Accepted + Wait - Implementation' across all cases,The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""7158 days, 16:21:41"","
"Average duration from 'Accepted + Wait - Implementation' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""13 days, 23:55:55.662531"","
"Difference in average duration between 'Accepted + Wait - Implementation' and 'Accepted + Wait - User',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - User',""8 days, 11:52:23.026144"","
"Duration of 'Accepted + Wait - Implementation' in cases leading to 'Completed + Closed' versus 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',""10 days, 16:41:18.222222"","
Minimum duration of 'Accepted + Wait - Implementation' in cases with high impact,The minimum of the duration between activity Accepted + Wait - Implementation and the end of the case,0:00:00,
"Total duration of 'Accepted + Wait - Implementation' for cases involving 'Org line A2',The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""1322 days, 3:50:27"","
Duration of 'Accepted + Wait - Implementation' in the fastest case to resolution,The minimum of the duration between activity Accepted + Wait - Implementation and the end of the case,0:00:00,
"Duration of 'Accepted + Wait - Implementation' in the slowest case to resolution,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - Implementation' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""470 days, 11:44:00"","
"Average duration from 'Accepted + Wait - Implementation' to the next activity in the most frequent process variant,The average of the duration between activity Accepted + Wait - Implementation and the end of the case,""17 days, 8:00:03.150121"","
"Difference in average duration of 'Accepted + Wait - Implementation' between cases with 'Medium' and 'High' impact products,The average of the duration between activity Accepted + Wait - Implementation and the end of the case,""24 days, 8:41:33.964072"","
"Total duration of 'Accepted + Wait - Implementation' in cases that were resolved without further escalation,The average of the duration between activity 'Accepted + Wait - Implementation' and the end of case where activity 'Escalated does not occur,""7158 days, 16:21:41"","
"Average duration of 'Accepted + Wait - Implementation' before reaching any 'Completed' status activity,The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""13 days, 23:55:55.662531"","
"Duration of 'Accepted + Wait - Implementation' in cases with subsequent 'Queued + Awaiting Assignment' activity,The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Queued + Awaiting Assignment',""12 days, 6:52:41.111111"","
"Longest single instance of 'Accepted + Wait - Implementation' and the following activity in the event log,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - Implementation' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000029E3FC4F910> - AppliesTo.PROCESS,""470 days, 11:44:00"","
