Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Manuscript Export Succeeded' to 'Plagiarism Originality Report Completed',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',1 days 12:03:25.602410,
Total time for 'Plagiarism Originality Report Completed' across all cases,The sum of the duration between activity Plagiarism Originality Report Completed and the end of the case,9593 days 03:28:28,
Average time between 'Plagiarism Originality Report Completed' and 'SW-Checklist Completed',The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Checklist Completed',3 days 09:19:25.037037,
Minimum time it takes from 'Plagiarism Originality Report Completed' to 'SW-Awaiting AE Assignment',The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting AE Assignment',0 days 00:01:52,
Average time to complete 'Plagiarism Originality Report Completed' after 'Original Manuscript Submission Confirmation',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Plagiarism Originality Report Completed',1 days 11:55:29.559524,
Total resolution time of 'Plagiarism Originality Report Completed' in the process,The sum of the duration between activity Plagiarism Originality Report Completed and the end of the case,9593 days 03:28:28,
Time from 'Plagiarism Originality Report Completed' to 'SW-Reviewer Agreed' for manuscripts that undergo major revision,The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Reviewer Agreed',32 days 13:34:21.923077,
Time of 'Plagiarism Originality Report Completed' in relation to the total time from 'Original Manuscript Submission Confirmation' to 'SW-EIC Decision',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-EIC Decision',,
Average waiting time to the 'Plagiarism Originality Report Completed' after 'Manuscript Export Succeeded',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',1 days 12:03:25.602410,
Minimum resolution time of 'Plagiarism Originality Report Completed' for cases leading to 'SW-EIC Accept',The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-EIC Accept',1 days 18:37:29,
Total time it takes 'Plagiarism Originality Report Completed' to be done before 'SW-AE Assign Reviewers',The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-AE Assign Reviewers',1193 days 15:31:50,
Average time for 'Plagiarism Originality Report Completed' in cases where 'Plagiarism Percent Match Threshold Exceeded' occurs,The average of the duration between activity 'Plagiarism Originality Report Completed' and the end of case where activity 'Plagiarism Percent Match Threshold Exceeded occurs,122 days 00:55:10.272727,
Total time from 'Plagiarism Originality Report Completed' to 'SW-Awaiting EIC Decision' across all variants,The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting EIC Decision',3869 days 08:20:37,
Minimum time between 'Plagiarism Originality Report Completed' and the next activity for all cases,The minimum of the duration between activity Plagiarism Originality Report Completed and the end of the case,0 days 00:06:37,
Average time it takes from 'Plagiarism Originality Report Completed' to 'SW-Reviewer Agreed' across variants with 'SW-EIC Major Revision',The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Reviewer Agreed',32 days 13:34:21.923077,
