Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2 days 21:31:24.666667;;A
Average time from 'Declaration REJECTED by PRE_APPROVER' to 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';10 days 05:53:58.342466;;A
Total time spent on cases involving 'Declaration REJECTED by PRE_APPROVER';The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;1572 days 19:41:33;;B
Average resolution time for cases with 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and the end of case where activity 'Payment Handled occurs;21 days 04:18:30.291667;;B
Minimum time from 'Declaration REJECTED by PRE_APPROVER' to 'Declaration APPROVED by ADMINISTRATION';The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION';71 days 22:41:38;;A
Average time between 'Declaration REJECTED by PRE_APPROVER' and 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';11 days 12:46:12.150685;;A
Total resolution time of cases with 'Declaration REJECTED by PRE_APPROVER' before successful payment;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Payment Handled';1524 days 22:12:21;;B
Average waiting time before 'Declaration REJECTED by PRE_APPROVER' after 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2 days 21:31:24.666667;;B
Total time from 'Declaration REJECTED by PRE_APPROVER' to 'Request Payment';The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';1248 days 01:11:33;;A
Minimum resolution time of cases with 'Declaration REJECTED by PRE_APPROVER';The minimum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;3 days 09:09:01;;B
Average time it takes from 'Declaration REJECTED by PRE_APPROVER' to the next 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';10 days 05:53:58.342466;;A
Total time for all activities between 'Declaration REJECTED by PRE_APPROVER' and 'Payment Handled';The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Payment Handled';1524 days 22:12:21;;A
Average time from 'Declaration REJECTED by PRE_APPROVER' to 'Declaration APPROVED by PRE_APPROVER';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by PRE_APPROVER';4 days 12:15:19.582090;;A
Minimum time from 'Declaration REJECTED by PRE_APPROVER' to 'Declaration REJECTED by EMPLOYEE';The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration REJECTED by EMPLOYEE';0 days 00:02:26;;A
Average time from 'Declaration REJECTED by PRE_APPROVER' to 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by BUDGET OWNER';;;D
Total time from 'Declaration REJECTED by PRE_APPROVER' to 'Declaration FINAL_APPROVED by SUPERVISOR';The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';841 days 20:12:47;;A
Average time from 'Declaration REJECTED by PRE_APPROVER' to 'Declaration FOR_APPROVAL by SUPERVISOR';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;;D
Minimum time from 'Declaration REJECTED by PRE_APPROVER' to 'Declaration FOR_APPROVAL by ADMINISTRATION';The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION';;;D
