Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration FOR_APPROVAL by SUPERVISOR;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';0 days 00:00:03;;A
Average time from Declaration FOR_APPROVAL by SUPERVISOR to Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;;D
Average time from Declaration FOR_APPROVAL by SUPERVISOR to Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Total time spent in Declaration FOR_APPROVAL by SUPERVISOR across all cases;The sum of the duration between activity Declaration FOR_APPROVAL by SUPERVISOR and the end of the case;0 days 19:02:47;;B
Average resolution time of Declaration FOR_APPROVAL by SUPERVISOR;The average of the duration between activity Declaration FOR_APPROVAL by SUPERVISOR and the end of the case;0 days 19:02:47;;B
Minimum time from Declaration FOR_APPROVAL by SUPERVISOR to Request Payment;The minimum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Request Payment';;;D
Average time between Declaration FOR_APPROVAL by SUPERVISOR and Payment Handled;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Payment Handled';;;D
Total resolution time of cases involving Declaration FOR_APPROVAL by SUPERVISOR followed by Declaration REJECTED by PRE_APPROVER;The sum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Minimum time between Declaration FOR_APPROVAL by SUPERVISOR and Declaration APPROVED by ADMINISTRATION;The minimum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration APPROVED by ADMINISTRATION';;;D
Average time it takes from Declaration FOR_APPROVAL by SUPERVISOR to the next activity in the process;The average of the duration between activity Declaration FOR_APPROVAL by SUPERVISOR and the end of the case;0 days 19:02:47;;B
Total time from Declaration FOR_APPROVAL by SUPERVISOR to Declaration FINAL_APPROVED by SUPERVISOR across all variants;The sum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;;D
Average waiting time to Declaration FOR_APPROVAL by SUPERVISOR after Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;;D
Total time for Declaration FOR_APPROVAL by SUPERVISOR in cases where Declaration REJECTED by PRE_APPROVER occurs;The sum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Minimum resolution time of Declaration FOR_APPROVAL by SUPERVISOR in the process flow leading to Payment Handled;The minimum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Payment Handled';;;D
Average time from Declaration FOR_APPROVAL by SUPERVISOR to Declaration APPROVED by BUDGET OWNER in the variants where this path exists;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration APPROVED by BUDGET OWNER';;;D
Total time it takes from Declaration FOR_APPROVAL by SUPERVISOR to Declaration REJECTED by PRE_APPROVER in all cases;The sum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Average time from Declaration FOR_APPROVAL by SUPERVISOR to Declaration REJECTED by ADMINISTRATION in the variants where this occurs;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by ADMINISTRATION';;;D
Minimum time from Declaration FOR_APPROVAL by SUPERVISOR to Declaration APPROVED by PRE_APPROVER in cases where this re-approval is required;The minimum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration APPROVED by PRE_APPROVER';;;D
