Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Request Payment' to 'Payment Handled';The average of the duration between activity 'Request Payment' and activity 'Payment Handled';3 days, 13:47:24.830228;;A
Total time from 'Declaration SUBMITTED by EMPLOYEE' to 'Payment Handled';The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';116674 days, 17:20:16;;A
Minimum time from 'Declaration FINAL_APPROVED by SUPERVISOR' to 'Payment Handled';The minimum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled';23:36:15;;A
Average time for 'Payment Handled' grouped by 'org:role';The average of the duration between activity 'Payment Handled' and the end of case grouped by the last value of org:role;ADMINISTRATION:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":140424000,""MISSING"":null,""SUPERVISOR"":null,""UNDEFINED"":0}";A
Average time for 'Payment Handled' grouped by 'org:role';The average of the duration between activity 'Payment Handled' and the end of case grouped by the last value of org:role;EMPLOYEE:1 days 15:00:24;"{""ADMINISTRATION"":null,""EMPLOYEE"":140424000,""MISSING"":null,""SUPERVISOR"":null,""UNDEFINED"":0}";A
Average time for 'Payment Handled' grouped by 'org:role';The average of the duration between activity 'Payment Handled' and the end of case grouped by the last value of org:role;MISSING:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":140424000,""MISSING"":null,""SUPERVISOR"":null,""UNDEFINED"":0}";A
Average time for 'Payment Handled' grouped by 'org:role';The average of the duration between activity 'Payment Handled' and the end of case grouped by the last value of org:role;SUPERVISOR:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":140424000,""MISSING"":null,""SUPERVISOR"":null,""UNDEFINED"":0}";A
Average time for 'Payment Handled' grouped by 'org:role';The average of the duration between activity 'Payment Handled' and the end of case grouped by the last value of org:role;UNDEFINED:0 days 00:00:00;"{""ADMINISTRATION"":null,""EMPLOYEE"":140424000,""MISSING"":null,""SUPERVISOR"":null,""UNDEFINED"":0}";A
Total resolution time of 'Payment Handled';The sum of the duration between activity Payment Handled and the end of the case;1 day, 15:00:24;;B
Minimum resolution time of 'Payment Handled';The minimum of the duration between activity Payment Handled and the end of the case;00:00:00;;B
Average time it takes 'Payment Handled' after 'Request Payment';The average of the duration between activity 'Request Payment' and activity 'Payment Handled';3 days, 13:47:24.830228;;A
Total time it takes 'Payment Handled' to be done after 'Declaration FINAL_APPROVED by SUPERVISOR';The sum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled';69495 days, 1:19:36;;A
Time of 'Payment Handled';The sum of the duration between activity Payment Handled and the end of the case;1 day, 15:00:24;;B
'Payment Handled' Cycle Time;The sum of the duration between activity Payment Handled and the end of the case;1 day, 15:00:24;;B
Average time from 'Declaration APPROVED by ADMINISTRATION' to 'Payment Handled' for cases rejected by 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Payment Handled';5 days, 19:22:11;;B
Total time from 'Declaration SUBMITTED by EMPLOYEE' to 'Payment Handled' for cases involving 'Declaration REJECTED by PRE_APPROVER';The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';1694 days, 14:08:26;;B
Minimum time from 'Declaration APPROVED by PRE_APPROVER' to 'Payment Handled' in cases where 'Declaration REJECTED by PRE_APPROVER' occurred;The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Payment Handled';3 days, 1:58:40;;B
Average time between 'Declaration FINAL_APPROVED by SUPERVISOR' and 'Payment Handled' in cases without 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled';6 days, 22:05:25.988449;;B
Total time for 'Payment Handled' in cases with 'Declaration REJECTED by ADMINISTRATION' followed by approval steps;The sum of the duration between activity 'Payment Handled' and the end of case where activity 'Declaration REJECTED by ADMINISTRATION occurs;00:00:00;;B
