Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';4 days 15:31:58.871886;;A
Average time between Declaration REJECTED by SUPERVISOR and Request Payment;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Request Payment';12 days 20:04:18.343137;;A
Total time for cases involving Declaration REJECTED by SUPERVISOR;The sum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;4186 days 08:24:43;;B
Average time to reach Declaration REJECTED by SUPERVISOR from Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by SUPERVISOR';2 days 23:21:07.299539;;A
Minimum time from Declaration APPROVED by PRE_APPROVER to Declaration REJECTED by SUPERVISOR;The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by SUPERVISOR';0 days 00:16:50;;A
Average resolution time of Declaration REJECTED by SUPERVISOR cases;The average of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;14 days 21:33:11.042705;;B
Total resolution time for all cases ending with Declaration REJECTED by SUPERVISOR;The sum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;4186 days 08:24:43;;B
Average waiting time before Declaration REJECTED by SUPERVISOR after Declaration APPROVED by BUDGET OWNER;The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration REJECTED by SUPERVISOR';4 days 04:32:10.468750;;B
Time until Declaration REJECTED by SUPERVISOR from the start of the process;The average of the duration between the start of the case and activity 'Declaration REJECTED by SUPERVISOR';4 days 15:31:58.871886;;A
Average time it takes from Declaration REJECTED by SUPERVISOR to Payment Handled;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Payment Handled';16 days 15:23:46.629268;;A
Minimum time it takes to handle a case after Declaration REJECTED by SUPERVISOR;The minimum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;0 days 00:00:00;;B
Average time between Declaration REJECTED by SUPERVISOR and Declaration FINAL_APPROVED by SUPERVISOR in cases where re-submission occurs;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';10 days 06:19:45.681373;;B
Total time spent in activities before Declaration REJECTED by SUPERVISOR;The sum of the duration between the start of the case and activity 'Declaration REJECTED by SUPERVISOR';1305 days 20:46:43;;A
Average time from Declaration REJECTED by SUPERVISOR to the next activity in the process;The average of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;14 days 21:33:11.042705;;B
Total time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by SUPERVISOR across all cases;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';1305 days 20:46:43;;A
