Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2 days 21:31:24.666667;;A
Average time from Declaration REJECTED by PRE_APPROVER to Declaration SUBMITTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';10 days 05:53:58.342466;;A
Total time spent on cases with Declaration REJECTED by PRE_APPROVER before reaching Declaration FINAL_APPROVED by SUPERVISOR;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';841 days 20:12:47;;A
Average resolution time for cases with Declaration REJECTED by PRE_APPROVER;The average of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;19 days 10:01:15.222222;;B
Minimum time from Declaration REJECTED by PRE_APPROVER to Declaration APPROVED by ADMINISTRATION;The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION';71 days 22:41:38;;A
Average time between Declaration REJECTED by PRE_APPROVER and Declaration APPROVED by PRE_APPROVER in cases where re-submission occurs;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by PRE_APPROVER';4 days 12:15:19.582090;;B
Total time spent in Declaration REJECTED by PRE_APPROVER stage across all cases;The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;1572 days 19:41:33;;B
Average time from Declaration REJECTED by PRE_APPROVER to Request Payment in cases that are eventually approved;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';17 days 08:00:59.625000;;B
Minimum time from Declaration REJECTED by PRE_APPROVER to Declaration SUBMITTED by EMPLOYEE for re-submission;The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';0 days 00:06:14;;B
Average time from Declaration REJECTED by PRE_APPROVER to Declaration FINAL_APPROVED by SUPERVISOR in cases that are eventually approved;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';11 days 12:46:12.150685;;B
Total resolution time of cases with Declaration REJECTED by PRE_APPROVER that are eventually approved;The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;1572 days 19:41:33;;B
Average waiting time to Declaration APPROVED by ADMINISTRATION after Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION';216 days 21:38:57.500000;;B
Total time it takes from Declaration REJECTED by PRE_APPROVER to Payment Handled in cases that are eventually approved;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Payment Handled';1524 days 22:12:21;;B
Minimum resolution time of cases with Declaration REJECTED by PRE_APPROVER that are eventually approved;The minimum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;0 days 00:03:59;;B
Average time from Declaration REJECTED by PRE_APPROVER to Declaration APPROVED by BUDGET OWNER in cases that are eventually approved;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by BUDGET OWNER';;;D
