Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by BUDGET OWNER;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by BUDGET OWNER';4 days 00:23:41.775862;;A
Average time from Declaration REJECTED by BUDGET OWNER to Request Payment;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Request Payment';14 days 20:52:46.704545;;A
Total time for cases involving Declaration REJECTED by BUDGET OWNER;The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;975 days 12:45:16;;B
Average resolution time for cases with Declaration REJECTED by BUDGET OWNER;The average of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;16 days 19:40:05.448276;;B
Minimum time from Declaration APPROVED by ADMINISTRATION to Declaration REJECTED by BUDGET OWNER;The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER';0 days 00:05:32;;A
Average time between Declaration REJECTED by BUDGET OWNER and Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';12 days 06:51:00.045455;;A
Total resolution time of cases with Declaration REJECTED by BUDGET OWNER before successful payment;The sum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Payment Handled';797 days 00:54:23;;B
Average waiting time to Declaration REJECTED by BUDGET OWNER after Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER';1 days 18:30:12.120690;;B
Total time it takes from Declaration REJECTED by BUDGET OWNER to the next activity;The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;975 days 12:45:16;;B
Minimum resolution time of cases with Declaration REJECTED by BUDGET OWNER;The minimum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;0 days 00:47:20;;B
Average time it takes from Declaration REJECTED by BUDGET OWNER to Declaration SUBMITTED by EMPLOYEE in case of re-submission;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration SUBMITTED by EMPLOYEE';10 days 20:34:02.488889;;B
Total time for Declaration REJECTED by BUDGET OWNER in cases that were eventually approved;The sum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration APPROVED by BUDGET OWNER';347 days 10:17:40;;B
Average time from Declaration REJECTED by BUDGET OWNER to Declaration APPROVED by BUDGET OWNER in case of re-approval;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration APPROVED by BUDGET OWNER';12 days 09:47:46.428571;;B
Minimum time it takes for a case to be closed after Declaration REJECTED by BUDGET OWNER;The minimum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;0 days 00:47:20;;A
Average time for Declaration REJECTED by BUDGET OWNER in cases with Declaration APPROVED by PRE_APPROVER before rejection;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by BUDGET OWNER';;;D
Total time from Declaration REJECTED by BUDGET OWNER to Declaration APPROVED by ADMINISTRATION in cases of re-submission and approval;The sum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration APPROVED by ADMINISTRATION';339 days 16:09:21;;B
Average time from Declaration REJECTED by BUDGET OWNER to Payment Handled in cases that are eventually resolved;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Payment Handled';18 days 02:44:52.340909;;B
Total time from Declaration REJECTED by BUDGET OWNER to the final activity in the case;The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case;975 days 12:45:16;;A
Minimum time from Declaration REJECTED by BUDGET OWNER to Declaration REJECTED by EMPLOYEE in cases of multiple rejections;The minimum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration REJECTED by EMPLOYEE';0 days 00:47:20;;B
