Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration APPROVED by ADMINISTRATION';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2 days, 14:16:11.181887;;A
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';4 days, 19:56:10.538034;;A
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Payment Handled';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';11 days, 14:49:13.461715;;A
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2 days, 21:31:24.666667;;A
Total time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration APPROVED by ADMINISTRATION';The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';20712 days, 11:35:45;;A
Total time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';48644 days, 22:08:38;;A
Total time from 'Declaration SUBMITTED by EMPLOYEE' to 'Payment Handled';The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';116674 days, 17:20:16;;A
Total time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by PRE_APPROVER';The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';234 days, 15:24:18;;A
Minimum time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration APPROVED by ADMINISTRATION';The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';00:00:01;;A
Minimum time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';00:00:01;;A
Minimum time from 'Declaration SUBMITTED by EMPLOYEE' to 'Payment Handled';The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';1 day, 1:33:30;;A
Minimum time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by PRE_APPROVER';The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';00:00:02;;A
Average time between 'Declaration SUBMITTED by EMPLOYEE' and 'Declaration REJECTED by PRE_APPROVER' in cases where the declaration is eventually approved;"ERROR: computing metric {'begin': ""activity == 'Declaration SUBMITTED by EMPLOYEE'"", 'end': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'aggregation': 'average', 'filter': ""activity == 'Declaration APPROVED by ADMINISTRATION' or activity == 'Declaration FINAL_APPROVED by SUPERVISOR'""}";;;C
Total resolution time of 'Declaration SUBMITTED by EMPLOYEE' in cases leading to payment;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';116674 days, 17:20:16;;B
Average time it takes from 'Declaration SUBMITTED by EMPLOYEE' to the next activity in the process;The average of the duration between activity Declaration SUBMITTED by EMPLOYEE and the end of the case;11 days, 16:10:25.119826;;B
Total time it takes from 'Declaration SUBMITTED by EMPLOYEE' to the next activity in the process;The sum of the duration between activity Declaration SUBMITTED by EMPLOYEE and the end of the case;120999 days, 23:49:27;;A
Minimum time it takes from 'Declaration SUBMITTED by EMPLOYEE' to the next activity in the process;The minimum of the duration between activity Declaration SUBMITTED by EMPLOYEE and the end of the case;00:01:05;;B
Average time until 'Declaration SUBMITTED by EMPLOYEE' is performed after 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';10 days, 5:53:58.342466;;A
Total time until 'Declaration SUBMITTED by EMPLOYEE' is performed after 'Declaration REJECTED by PRE_APPROVER';The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';747 days, 22:39:59;;A
Minimum time until 'Declaration SUBMITTED by EMPLOYEE' is performed after 'Declaration REJECTED by PRE_APPROVER';The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE';00:06:14;;A
