Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by PRE_APPROVER;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';2 days 09:29:05.653153;;A
Average time from Declaration APPROVED by PRE_APPROVER to Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';2 days 17:55:44.241327;;A
Average time from Declaration APPROVED by PRE_APPROVER to Declaration REJECTED by ADMINISTRATION;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by ADMINISTRATION';;;D
Total time spent on Declaration APPROVED by PRE_APPROVER across all cases;The sum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;6635 days 17:36:44;;B
Average resolution time for cases involving Declaration APPROVED by PRE_APPROVER;The average of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;9 days 23:07:31.957958;;B
Minimum time taken for Declaration APPROVED by PRE_APPROVER after Declaration SUBMITTED by EMPLOYEE;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';0 days 00:00:01;;A
Maximum time taken for Declaration APPROVED by PRE_APPROVER before Declaration FINAL_APPROVED by SUPERVISOR;The maximum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';310 days 02:10:37;;A
Average time between Declaration APPROVED by PRE_APPROVER and Request Payment;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Request Payment';6 days 06:45:13.804545;;A
Total time from Declaration APPROVED by PRE_APPROVER to Payment Handled;The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Payment Handled';6589 days 17:16:27;;A
Average time for a case to be completed after Declaration APPROVED by PRE_APPROVER;The average of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;9 days 23:07:31.957958;;A
Time difference between Declaration APPROVED by PRE_APPROVER and Declaration REJECTED by PRE_APPROVER in cases where both occur;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Average time from Declaration APPROVED by PRE_APPROVER to the next activity in the process;The average of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;9 days 23:07:31.957958;;B
Total time from Declaration APPROVED by PRE_APPROVER to Declaration REJECTED by EMPLOYEE;The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by EMPLOYEE';59 days 01:34:04;;A
Average time from Declaration APPROVED by PRE_APPROVER to Declaration APPROVED by ADMINISTRATION in cases where this reversion occurs;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION';300 days 06:26:52;;B
Minimum resolution time of cases with Declaration APPROVED by PRE_APPROVER;The minimum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;2 days 03:28:42;;B
Average time from Declaration APPROVED by PRE_APPROVER to Declaration APPROVED by BUDGET OWNER;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration APPROVED by BUDGET OWNER';308 days 00:10:20;;A
Total time for all activities to be completed after Declaration APPROVED by PRE_APPROVER in a case;The sum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;6635 days 17:36:44;;A
Average time from Declaration APPROVED by PRE_APPROVER to Declaration REJECTED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by SUPERVISOR';2 days 23:58:13.363636;;A
Average waiting time to Declaration APPROVED by PRE_APPROVER from the start of the case;The average of the duration between the start of the case and activity 'Declaration APPROVED by PRE_APPROVER';2 days 09:29:05.653153;;B
Average time it takes from Declaration APPROVED by PRE_APPROVER to the end of the process;The average of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;9 days 23:07:31.957958;;A
